Timestamp,"Why did you decide on the Master's program for ""IS and Digital Innovation""?",Which Master's program was your next option?,What do you like so far in this Master's program?,What are your recommendations for things to improve?
11/13/2023 14:19:37,Strong interest in IT,Management option Business Analytics,Diversity of the courses and their content,-
11/13/2023 14:20:04,because i like programming and entreprenorship,Master in Statistics (Geneva University),the small class and the projects through the semester,the Software Architecture course is a bit too theoretical otherwise its ok
11/13/2023 14:20:45,Because I'm interested in digital technologies and project management,Finance,The fact that it's not too much academic but it's also really concrete ,Having more links with the professional world
11/13/2023 14:20:53,It was short and corresponded to my bachelor in information systems and science of services,The master in information systems at the university of Geneva,The aspect of it being also centered on business and not only technical,"Having more classes like the Digital Innovation Seminar, that is where we learn the most "
11/13/2023 14:20:54,The subject was interesting to me,Economics,Mix of different subjects,Group projects in general more clear
11/13/2023 14:21:11,Parce qu'il s'agit du master qui s'intéresse le plus à la technologie et comment elle impact les business.,Aucune,La matière en général et les projets de groupes.,Un peu moins de projet de groupe qui prennent trop de temps en parallèle des cours.
11/13/2023 14:21:20,Because I technology ,None,The mix between hard skills in tech and soft skills,.
11/13/2023 14:21:33,It's a mix between technology and management,Management,variety of courses,more exercice to train 
11/13/2023 14:21:34,Because of the possibility to make an internship and also the master program.,UNIFR - Business informatics.,The group projects and the schedule.,Possibility to have zoom classes
11/13/2023 14:21:38,Because I think it was ideal for someone that want to do something related to programming and economy ,Data Science ,That is very practical ,"The level of programming is very high at the start, it should be lower. Because we weren't supposed to know that much about programming "
11/13/2023 14:22:03,"Only ""2 semesters"" and in general it's a important and interesting topic",Finance, ,Too many project at the same time
11/13/2023 14:22:18,Because I wanted to improve my knolwdge of IT. I started to study that field during high school.,A similar master in a foreign university,I like that in this master there are a lot of technical assignment not just theoretical aspects,I like how it is
11/13/2023 14:22:20,I wanted a Master Degree that would marry business and technology. This was one of the few proposed by HEC.,Management - Business Analytics,"Small class, a lot of projects in which we have to work with different companies","Nothing, I like it the way it is. Even if it's a lot of work."
11/13/2023 14:22:28,"Only 2 lecture semesters, very concret and practical courses. Very up to date studies","Master in Management, orientation BA","Coding in python, the ISP course which shows all the ""behind the scene"" and starting to see a little bit better what I'm actually gonna do in ma futur. ","It is maybe too early now but in a near futur, Generative AI will change how certain jobs are done. Maybe a course about how to use AI in a firm to know it's full potential "
11/13/2023 14:22:32,because later i'd like to work in the management on digital project,master  in management,the practical work like coding ,better coordination between each course for the assignments
11/13/2023 14:22:36,I want to learn more about SI,Finance,"diversity of the lessons, projects, ",explanation of some lessons are bad.
11/13/2023 14:22:44,"Im very interested by the digital side of the business, so i wanted to work deeper in this field.",Management Business Analytics,"Group project, and every subjects we study","To be honest i dont know, its the first time I realy like to study :)"
11/13/2023 14:22:48,Because of the opportunities it brings after in professional world,Accounting,Learning code is new to me ; I also like the there is an entrepreneurship view of some courses,"Change SOA course, it's too old. Stop making groups random (digital week), sometimes, we have to work with lasy people and it's unequal "
11/13/2023 14:22:48,"I wanted to have a broader approach than the management BIA master, I don't want to be fighting for the same job as epfl students. I want to have a broad panel of opportunities since I don't wan't to work for companies that don't suit my moral compass.",BIA Management ; SOL management ,"Loads of new concepts, very different topics","Don't put the 3.5 blocus when we do so much group work. Either focus more of the grade on the group work or on the final test, but working like crazy for 6 months and having only 1 bad day that erases 6 months of work is scary and frustrating."
11/13/2023 14:23:17,"I’m not in this master, i’m an exchange student only taking the machine learning course ",none,no respons,Maybe being more clear in the indication in the assignment questions
11/13/2023 14:23:31,"For the tech part, for me this so important to know well technologie and code ",Finance,I start to really appreciate to do the different project ,"SOA course should be improve a bit becasue I had a really hard time making the link between the lesson and the project, we misses essential information, and the support is really unintuitive and outdated (netbeans)"
11/13/2023 14:23:32,Because it’s a technical master ,Business analysis,Learn new things far than business ,More video for theoretical parts 
11/13/2023 14:23:35,because technologies are a major part of the future of work and having basis while being prepared to handle them will be essential,Sustainability management and technologies,"it encourages the reflexion on different types of technologies and their implication in the environment. 
Also their implimentatios in companies and their configuration is really interesting","give more adjustment if people didn,t do lots of programming in their bachelor,s degree, or alternatives for them (give them resources or more help) without having to do an adjustment yeae"
11/13/2023 14:23:51,Very interesting and future oriented,Finance,Interesting and I like the class,"Totally lost during the first weeks, as I have never worked with python or java. I would recommend to give a quick introduction to those programs, especially in python."
11/13/2023 14:23:51,I wanted to be more aware on how I could help companies with new technology to improve their process into the digital transformation.,Innovation abroad,I think the topic related to the practice are great. Some courses are very near the need of the companies and it is great for us to work directly in the field. ,Some of the classes are not up to date... with new technologies we could have some new models and new tools. Some course materials are based on old theory and not rewritten sice 2017
11/13/2023 14:24:10,Because I really like IT and I wanted to learn more about specific subjects like ML.,Master in Corporate Finance,I really like the courses that have a technical approach like Data Science and Machine Learning and Software Architecture.,I think the courses that are a bit less technical should have more concrete projects
11/13/2023 14:24:15,I was always interested in IT and how the digital world works,none,The projects and implementations (not only theory) ,projects + exam in every class
11/13/2023 14:24:22,"I like technology in general and I wanted to learn more concrete stuff. 
Also because this is a popular subject in our days and I think our profile is attractive for the market",Management business administration ,"Learn and practice. There is a lot of project related to the courses and this is the better way for me to learn. 
Also the fact that we have to be very autonomous on the work that we have to do, we learn also how to search solutions by ourself","I think the organization in general, sometime things are not clear etc…"
11/13/2023 14:24:28,"Career perspective. The cursus (a lot of intervenants, seminars, stage, ...)",Management Business Analytics,"The diversity of the program. As I said before, a lot of intervenants, seminars, different things are seen.","Maybe the communication. Each course have it own communication channel (Slack, moodle, email, ...) It would be time saving to centralise everything. Also not every course provide the slides before the class and it's personal but I like to work on it during the classes."
11/13/2023 14:25:40,"I would like to pursue a career in the tech industry, or get tech type job in a firm. Specifically, in the filed of data analytics, data science, machine learning and/or digital transformation",Business Analytics,"I enjoy the programming elements the most, precisely the data science course is the one which I found the most interesting and relevant","All our courses are around 3h30 and for some it is not suitable. Some courses like SOAR or stratégie digitale the profressor only talks for the whole period of time and it is very difficult to follow. Speficically for SOAR where our professor only talkes about programming but we don't have any demonstrations nor de have any exercises to practice. 

I prefer the format where the lesson is devided into two parts, first theory then practical application."
11/13/2023 14:26:10,"To acquire complementary skills that go well with my Master in Engineering in mathematical modelling and computing, to grow my network with companies and universities, to learn new things, to have social interaction with students while learning",Master in Actuarial Sciences and Master in Geoosciences,"The dynamic in class, learning new methods in a good atmosphere",More online teaching stuff
11/13/2023 14:27:03,I was interested to learn more about DataScience and new technologies in general. ,Buisness Analytics / Master of Management,Practical exercices and coding. ,"Sometimes I will feel like it's going to fast, I don't have time to really understand all the subjects so I am learning just enough to do the exercices. "
11/13/2023 14:38:19,"It's in the era of the time, and it mixes Innovation, Computer science, Management, Digital Strategies, Machine learning ",Management BA,"very stimulant, workload is manageable","Continue the idea of kahoot questions at the start of a course about last week session. 
DSML assignment were released with mistakes. Digital strategies mindmap idea is very good and even better than a kahoot session. "
