flightName,departure,destination,date,userID
KX65826,AR,IT,20.01.10,317991
CL12336,IT,MT,16.06.10,317991
YN106988,MT,SE,08.05.11,317991
CB58289,SE,EE,08.11.11,317991
SX625101,EE,AZ,17.11.11,317991
FI81778,AZ,ES,19.01.12,317991
WL73165,ES,RU,24.02.12,317991
NG103876,RU,JP,28.06.12,317991
IX62714,JP,AT,24.07.12,317991
BT46823,AT,GB,25.08.12,317991
JC110193,GB,KR,12.09.12,317991
UF101853,KR,DZ,16.08.13,317991
LI26752,DZ,LU,29.11.13,317991
SX25878,LU,DE,07.03.14,317991
MT75485,DE,GT,02.04.14,317991
ZZ101384,GT,HU,18.10.14,317991
HZ12741,HU,BG,14.07.15,317991
VJ46313,BG,AR,09.06.16,317991
JM292310,AR,BR,19.10.16,317991
CQ210993,BR,CR,27.09.17,317991
PS311063,CR,CO,28.02.18,317991
UN91215,CO,KR,15.10.18,317991
CB93843,KR,MY,07.05.19,317991
PU341107,MY,CH,24.07.19,317991
OK7791010,CH,MD,01.10.19,317991
YQ81668,MD,PR,21.05.20,317991
PN128107,PR,RU,29.01.21,317991
MA710838,RU,IS,03.08.21,317991
KO815110,IS,LU,07.12.21,317991
TI18392,LU,TR,06.03.22,317991
HQ121043,TR,BD,03.07.22,317991
MH62591,BD,ZA,04.10.22,317991
PU75695,AR,CR,26.11.10,241892
LB699610,CR,MX,14.05.11,241892
RT659106,MX,BD,18.11.11,241892
WY5105106,BD,PL,20.04.12,241892
QW841041,PL,IE,19.12.12,241892
TZ637210,IE,IS,18.06.13,241892
SX410771,IS,AZ,04.08.13,241892
DS96816,AZ,IT,05.06.14,241892
MB54694,IT,HU,19.06.14,241892
JN242107,HU,DE,27.04.15,241892
TX10961010,DE,HU,17.07.15,241892
OX86253,HU,AR,24.05.16,241892
ZX106423,AR,LU,17.01.17,241892
XI96536,LU,ZA,05.10.17,241892
CC88257,ZA,BD,06.03.18,241892
MR1010337,BD,FI,28.09.18,241892
SM967610,FI,SG,06.04.19,241892
UO72233,SG,IS,25.10.19,241892
AS798410,IS,LT,08.11.19,241892
JL17193,LT,FI,20.06.20,241892
TY85417,FI,IS,17.10.20,241892
MZ59623,IS,SG,24.06.21,241892
DO361056,SG,LT,22.09.21,241892
MK14158,LT,IS,24.10.21,241892
NT143210,IS,FI,04.12.21,241892
CS914810,FI,AR,11.02.22,241892
BD52553,AR,MY,04.11.22,241892
QS161066,US,PL,01.10.10,303376
WB610132,PL,TR,07.11.10,303376
ZM92588,TR,LU,11.10.11,303376
SZ55911,LU,JP,12.01.12,303376
JN8105108,JP,ZA,24.04.12,303376
VA53496,ZA,MY,14.05.12,303376
SP72267,MY,DK,12.10.12,303376
GP19728,DK,IT,18.02.13,303376
GK12478,IT,IN,06.01.14,303376
NU14564,IN,SG,06.05.14,303376
MJ79652,SG,DE,20.10.14,303376
QF69453,DE,BE,14.09.15,303376
TV31568,BE,AR,04.07.16,303376
IA49278,AR,IT,11.07.17,303376
EX23113,IT,HU,17.08.17,303376
OY87842,HU,PL,29.03.18,303376
AM38724,PL,LT,22.12.18,303376
IV32931,LT,PL,02.07.19,303376
IW93687,PL,KR,19.10.19,303376
BM85578,KR,SG,13.03.20,303376
HA51245,SG,AR,25.07.20,303376
XX73557,AR,FI,20.10.20,303376
ZK1010468,FI,CA,22.06.21,303376
PI99957,CA,CO,11.11.21,303376
OI99367,CO,MT,27.12.21,303376
TZ861028,MT,DE,26.02.22,303376
GA87695,DE,CA,08.12.22,303376
DI26248,IS,HU,23.06.10,761992
NH54364,HU,IS,27.07.10,761992
OD210379,IS,HR,29.04.11,761992
XT2103710,HR,AR,10.05.11,761992
DG98562,AR,PT,11.06.11,761992
ZQ3610101,PT,CA,10.04.12,761992
QM27478,CA,ZA,21.10.12,761992
VY34925,ZA,MT,07.02.13,761992
EL515210,MT,LT,06.11.13,761992
BX72131,LT,JP,24.03.14,761992
HV72139,JP,PT,16.04.14,761992
JM446910,PT,BE,09.12.14,761992
CG27655,BE,DK,01.01.15,761992
HA934310,DK,HR,05.08.15,761992
MD910989,HR,MY,20.12.15,761992
NX86369,MY,AR,15.07.16,761992
CX44468,AR,EE,14.08.16,761992
TC82481,EE,NL,14.10.16,761992
GP127710,NL,AR,10.02.17,761992
FO73487,AR,AZ,29.01.18,761992
WM69989,AZ,IE,20.05.18,761992
QU178410,IE,SG,01.09.18,761992
VZ41925,SG,JP,08.10.18,761992
