,BusinessTravel,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,Travel_Rarely,1102,1,2,1,1,2,Female,94,3,2,4,5993,19479,8,Yes,11,3,1,80,0,8,0,1,6,4,0,5
1,Travel_Frequently,279,8,1,1,2,3,Male,61,2,2,2,5130,24907,1,No,23,4,4,80,1,10,3,3,10,7,1,7
2,Travel_Rarely,1373,2,2,1,4,4,Male,92,2,1,3,2090,2396,6,Yes,15,3,2,80,0,7,3,3,0,0,0,0
3,Travel_Frequently,1392,3,4,1,5,4,Female,56,3,1,3,2909,23159,1,Yes,11,3,3,80,0,8,3,3,8,7,3,0
4,Travel_Rarely,591,2,1,1,7,1,Male,40,3,1,2,3468,16632,9,No,12,3,4,80,1,6,3,3,2,2,2,2
5,Travel_Frequently,1005,2,2,1,8,4,Male,79,3,1,4,3068,11864,0,No,13,3,3,80,0,8,2,2,7,7,3,6
6,Travel_Rarely,1324,3,3,1,10,3,Female,81,4,1,1,2670,9964,4,Yes,20,4,1,80,3,12,3,2,1,0,0,0
7,Travel_Rarely,1358,24,1,1,11,4,Male,67,3,1,3,2693,13335,1,No,22,4,2,80,1,1,2,3,1,0,0,0
8,Travel_Frequently,216,23,3,1,12,4,Male,44,2,3,3,9526,8787,0,No,21,4,2,80,0,10,2,3,9,7,1,8
9,Travel_Rarely,1299,27,3,1,13,3,Male,94,3,2,3,5237,16577,6,No,13,3,2,80,2,17,3,2,7,7,7,7
10,Travel_Rarely,809,16,3,1,14,1,Male,84,4,1,2,2426,16479,0,No,13,3,3,80,1,6,5,3,5,4,0,3
11,Travel_Rarely,153,15,2,1,15,4,Female,49,2,2,3,4193,12682,0,Yes,12,3,4,80,0,10,3,3,9,5,0,8
12,Travel_Rarely,670,26,1,1,16,1,Male,31,3,1,3,2911,15170,1,No,17,3,4,80,1,5,1,2,5,2,4,3
13,Travel_Rarely,1346,19,2,1,18,2,Male,93,3,1,4,2661,8758,0,No,11,3,3,80,1,3,2,3,2,2,1,2
14,Travel_Rarely,103,24,3,1,19,3,Male,50,2,1,3,2028,12947,5,Yes,14,3,2,80,0,6,4,3,4,2,0,3
15,Travel_Rarely,1389,21,4,1,20,2,Female,51,4,3,1,9980,10195,1,No,11,3,3,80,1,10,1,3,10,9,8,8
16,Travel_Rarely,334,5,2,1,21,1,Male,80,4,1,2,3298,15053,0,Yes,12,3,4,80,2,7,5,2,6,2,0,5
