,Age,Annual_Income,Monthly_Inh_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outsting_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,AutoLoan,Credit-BuilderLoan,DebtConsolidationLoan,HomeEquityLoan,MortgageLoan,NotSpecified,PaydayLoan,PersonalLoan,StudentLoan,Occupation_Accountant,Occupation_Architect,Occupation_Developer,Occupation_Doctor,Occupation_Engineer,Occupation_Entrepreneur,Occupation_Journalist,Occupation_Lawyer,Occupation_Manager,Occupation_Mechanic,Occupation_MediaManager,Occupation_Musician,Occupation_Scientist,Occupation_Teacher,Occupation_Writer,userID
0,23.0,19114.12,1824.8433333333328,3.0,4.0,3.0,4.0,3.0,7.0,11.27,2022.0,809.98,35.03040185583525,1,49.57494921489417,236.64268203272127,6,186.26670208571767,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,317991
1,24.0,19114.12,1824.8433333333328,3.0,4.0,3.0,4.0,3.0,9.0,13.27,4.0,809.98,33.053114497012245,1,49.57494921489417,21.465380264657146,2,361.444003853782,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,241892
3,24.0,19114.12,4182.004291203503,3.0,4.0,3.0,4.0,4.0,5.0,11.27,4.0,809.98,32.430559017296765,1,49.57494921489417,39.08251089460281,2,343.82687322383634,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,303376
5,28.0,34847.84,3037.986666666666,2.0,4.0,6.0,1.0,3.0,3.0,5.42,5.0,605.03,30.11660045002501,1,18.816214573128885,251.6273687501761,4,303.3550833433617,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761992
8,35.0,143162.64,4182.004291203503,1.0,5.0,8.0,3.0,8.0,1942.0,7.1,3.0,1303.01,35.22970733005963,1,246.9923194537421,397.5036535440465,5,854.2260270022115,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373318
9,35.0,143162.64,12187.22,1.0,5.0,8.0,3.0,6.0,3.0,2.1,3.0,1303.01,35.68583594909283,1,246.9923194537421,453.6151305781054,4,788.1145499681528,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938770
10,35.0,143162.64,12187.22,1.0,5.0,8.0,1381.0,8.0,5.0,7.1,5.0,1303.01,31.81984543225805,1,246.9923194537421,841.2322359154716,5,410.4974446307865,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676003
12,55.0,30689.89,2612.4908333333333,2.0,5.0,4.0,1.0,5.0,6.0,1.99,4.0,632.46,39.37721939916439,1,16.415451659824875,69.10700584725082,2,425.7266258262577,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255073
14,55.0,30689.89,2612.4908333333333,2.0,5.0,4.0,1.0,5.0,6.0,1.99,4.0,632.46,36.82446782218685,1,16.415451659824875,191.88624358002707,5,332.9473880934814,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468560
15,55.0,4148862.0,2612.4908333333333,2.0,5.0,4.0,1.0,6.0,6.0,1.99,7.0,632.46,35.5792649548332,1,16.415451659824875,233.93341714114607,6,300.90021453236227,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263592
17,22.0,35547.71,2853.3091666666664,7.0,5.0,5.0,0.0,5.0,18.0,2.58,5.0,943.86,31.65235104376109,2,0.0,113.45265630966416,2,421.8782603570025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,660506
19,22.0,35547.71,2853.3091666666664,7.0,5.0,5.0,0.0,5.0,18.0,2.58,5.0,943.86,29.56612273444377,2,0.0,181.0072171318061,6,394.3236995348605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,244162
20,31.0,73928.46,5988.705000000001,4.0,5.0,8.0,0.0,8.0,7.0,14.14,4.0,548.2,38.13542413744779,1,0.0,56.12102437604161,1,782.7494756239585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,774730
23,32.0,73928.46,5988.705000000001,4.0,5.0,8.0,0.0,8.0,7.0,10.14,1552.0,548.2,29.150995190084487,1,0.0,130.87396353628236,1,707.9965364637178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911014
25,34.0,131313.4,10469.207759388815,0.0,1.0,8.0,2.0,0.0,2.0,9.34,4.0,352.16,31.025571099037258,1,911.2201793459374,966.0743358890512,4,290.5593920428604,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,601633
26,34.0,131313.4,10469.207759388815,0.0,1.0,8.0,2.0,0.0,1.0,9.34,4.0,352.16,26.06663998426569,0,911.2201793459374,1141.220312604539,5,125.41341532737272,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645054
27,34.0,131313.4,4182.004291203503,0.0,1.0,8.0,2.0,0.0,0.0,10.34,4.0,352.16,34.66559278821641,0,911.2201793459374,555.8479876829251,5,710.7857402489867,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255830
29,30.0,34081.38,4182.004291203503,8.0,7.0,15.0,3.0,30.0,17.0,17.13,9.0,1704.18,38.36868220739614,2,70.47833267207261,112.9063528724493,3,337.72681445547806,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353527
