,Age,Occupation,Annual_Income,Monthly_Inh_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outsting_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,AutoLoan,Credit-BuilderLoan,DebtConsolidationLoan,HomeEquityLoan,MortgageLoan,NotSpecified,PaydayLoan,PersonalLoan,StudentLoan
0,23,Scientist,19114.12,1824.8433333333328,3,4,3,4,3,7,11.27,2022.0,Good,809.98,35.03040185583525,No,49.57494921489417,236.64268203272132,LowspentSmallvaluepayments,186.26670208571767,1,1,0,1,0,0,0,1,0
1,24,Scientist,19114.12,1824.8433333333328,3,4,3,4,3,9,13.27,4.0,Good,809.98,33.053114497012245,No,49.57494921489417,21.465380264657146,HighspentMediumvaluepayments,361.444003853782,1,1,0,1,0,0,0,1,0
3,24,Scientist,19114.12,4182.004291203503,3,4,3,4,4,5,11.27,4.0,Good,809.98,32.430559017296765,No,49.57494921489417,39.08251089460281,HighspentMediumvaluepayments,343.82687322383634,1,1,0,1,0,0,0,1,0
5,28,Teacher,34847.84,3037.986666666666,2,4,6,1,3,3,5.42,5.0,Good,605.03,30.11660045002501,No,18.816214573128885,251.6273687501761,LowspentLargevaluepayments,303.3550833433617,0,1,0,0,0,0,0,0,0
8,35,Engineer,143162.64,4182.004291203503,1,5,8,3,8,1942,7.1,3.0,Good,1303.01,35.22970733005963,No,246.9923194537421,397.5036535440465,LowspentMediumvaluepayments,854.2260270022115,2,0,0,0,0,1,0,0,0
9,35,Engineer,143162.64,12187.22,1,5,8,3,6,3,2.1,3.0,Good,1303.01,35.68583594909283,No,246.9923194537421,453.6151305781054,LowspentLargevaluepayments,788.1145499681528,2,0,0,0,0,1,0,0,0
10,35,Engineer,143162.64,12187.22,1,5,8,1381,8,5,7.1,5.0,Good,1303.01,31.81984543225805,No,246.9923194537421,841.2322359154716,LowspentMediumvaluepayments,410.4974446307865,2,0,0,0,0,1,0,0,0
12,55,Entrepreneur,30689.89,2612.4908333333333,2,5,4,1,5,6,1.99,4.0,Good,632.46,39.37721939916439,No,16.415451659824875,69.10700584725082,HighspentMediumvaluepayments,425.7266258262577,0,0,0,0,0,1,0,0,0
14,55,Entrepreneur,30689.89,2612.4908333333333,2,5,4,1,5,6,1.99,4.0,Good,632.46,36.82446782218685,No,16.415451659824875,191.88624358002707,LowspentMediumvaluepayments,332.9473880934814,0,0,0,0,0,1,0,0,0
15,55,Entrepreneur,4148862.0,2612.4908333333333,2,5,4,1,6,6,1.99,7.0,Good,632.46,35.5792649548332,No,16.415451659824875,233.93341714114607,LowspentSmallvaluepayments,300.90021453236227,0,0,0,0,0,1,0,0,0
