Interaction_ID,User_ID,File_Type,Interaction_Type,Rating,Timestamp,Age,Gender,Subscription_Type,Title,Artist,Album,Genre,Release_Year,Lyrics,File_ID,Sentiment,Target
I00001,U0494,Audio,Listen,4,2023-06-05 00:05:30.389872,51,M,Premium,Audio_Song_1825,Bruno Mars,Album_90,Pop,2020,I get by with a little help from my friends,A1825,-0.735,1
I00002,U0302,Audio,Skip,2,2025-08-04 20:22:30.389872,18,M,Premium,Audio_Song_2392,Frank Sinatra,Album_66,Hip-Hop,2008,Hit me baby one more time,A2392,0.095,0
I00003,U0224,Video,Share,4,2024-10-19 01:52:30.389872,58,M,Free,Video_Song_572,The Chainsmokers,Album_18,Electronic,2004,"Let it be, let it be, let it be, let it be",V572,0.42,1
I00004,410319,Audio,Like,2,2023-11-20 20:51:30.389872,35,M,Premium,Audio_Song_1481,Khalid,Album_75,Classical,1994,"I can't get no satisfaction, I can't get no satisfaction",A1481,0.277,0
I00005,U0045,Video,Skip,2,2024-01-20 11:24:30.389872,25,M,Free,Video_Song_1683,Lil Nas X,Album_97,Hip-Hop,2009,Hit me baby one more time,V1683,0.749,0
I00006,U0264,Audio,Share,1,2025-07-03 11:07:30.389872,35,Other,Premium,Audio_Song_1416,Bob Dylan,Album_52,Rock,2013,"Here comes the sun, and I say, it's alright",A1416,0.559,0
I00007,U0427,Audio,Share,4,2025-02-04 18:39:30.389872,37,M,Premium,Audio_Song_2496,Coldplay,Album_55,Hip-Hop,2000,Hit me baby one more time,A2496,0.319,1
I00008,U0123,Audio,Like,5,2023-02-09 01:29:30.389872,21,Other,Premium,Audio_Song_530,Sam Cooke,Album_81,Classical,2024,"All the single ladies, all the single ladies",A530,0.479,1
I00009,U0305,Audio,Skip,3,2025-09-17 06:05:30.389872,34,Other,Free,Audio_Song_1008,Taylor Swift,Album_66,Rock,2016,"Shake it off, shake it off",A1008,-0.333,0
I00010,U0295,Audio,Listen,1,2025-02-14 04:31:30.389872,48,Other,Premium,Audio_Song_200,Bjork,Album_7,Hip-Hop,2020,I just called to say I love you,A200,-0.729,0
I00011,U0206,Video,Skip,2,2024-05-26 06:16:30.389872,32,F,Premium,Video_Song_1862,Billie Eilish,Album_30,Hip-Hop,2025,Is this the real life? Is this just fantasy?,V1862,-0.396,0
I00012,U0232,Audio,Share,1,2023-03-22 20:42:30.389872,27,M,Free,Audio_Song_547,Nicki Minaj,Album_89,Classical,2004,"I will always love you, I will always love you",A547,0.669,0
I00013,U0118,Audio,Share,1,2023-04-14 19:29:30.389872,18,Other,Premium,Audio_Song_1274,Kanye West,Album_69,Rock,2020,"Livin' on a prayer, take my hand, we'll make it I swear",A1274,0.557,0
I00014,785994,Video,Listen,3,2025-09-19 08:06:30.389872,41,M,Premium,Video_Song_660,Louis Armstrong,Album_45,Electronic,1996,"Beat it, beat it, no one wants to be defeated",V660,0.02,0
I00015,785994,Video,Listen,5,2024-03-16 13:37:30.389872,49,Other,Free,Video_Song_2500,Hozier,Album_29,Rock,2005,"Nothing else matters, never cared for what they do",V2500,-0.837,1
I00016,U0451,Audio,Skip,3,2023-12-24 18:10:30.389872,52,F,Premium,Audio_Song_389,Celine Dion,Album_36,Hip-Hop,2023,"Sweet dreams are made of this, who am I to disagree?",A389,-0.619,0
I00017,628854,Audio,Share,2,2023-05-08 18:55:30.389872,17,M,Free,Audio_Song_280,Travis Scott,Album_26,Hip-Hop,2016,"I want to hold your hand, I want to hold your hand",A280,-0.532,0
I00018,785994,Audio,Like,5,2025-01-29 04:55:30.389872,37,M,Free,Audio_Song_1733,Celine Dion,Album_74,Rock,2025,"Let it be, let it be, let it be, let it be",A1733,-0.467,1
I00019,U0473,Video,Share,5,2024-02-24 21:51:30.389872,40,M,Premium,Video_Song_1328,Imagine Dragons,Album_45,Classical,2014,"I want to hold your hand, I want to hold your hand",V1328,-0.685,1
I00020,U0206,Audio,Skip,1,2024-04-30 22:14:30.389872,32,F,Premium,Audio_Song_2206,Billie Holiday,Album_19,Rock,2000,"I want to hold your hand, I want to hold your hand",A2206,0.407,0
I00021,U0476,Video,Listen,1,2023-09-12 21:44:30.389872,35,M,Premium,Video_Song_775,Madonna,Album_24,Pop,2018,I just called to say I love you,V775,0.025,0
I00022,U0465,Video,Share,4,2024-05-12 08:22:30.389872,58,F,Free,Video_Song_2275,Bjork,Album_84,Hip-Hop,2004,"Shake it off, shake it off",V2275,-0.263,1
I00023,U0076,Audio,Share,5,2023-01-10 01:31:30.389872,35,Other,Premium,Audio_Song_1778,Biggie Smalls,Album_79,Jazz,1992,"I see a little silhouetto of a man, Scaramouche, Scaramouche",A1778,-0.949,1
I00024,U0278,Audio,Skip,3,2023-10-12 16:16:30.389872,55,F,Premium,Audio_Song_1701,Charlie Puth,Album_58,Hip-Hop,2019,"Shake it off, shake it off",A1701,0.643,0
I00025,U0332,Video,Share,3,2024-08-26 21:47:30.389872,26,Other,Free,Video_Song_2341,Coldplay,Album_50,Pop,2008,"Uptown funk you up, uptown funk you up",V2341,-0.661,0
I00026,U0434,Audio,Listen,1,2023-03-28 03:12:30.389872,17,F,Free,Audio_Song_1114,Bob Dylan,Album_15,Classical,2017,"I want to hold your hand, I want to hold your hand",A1114,-0.689,0
I00027,U0458,Video,Share,4,2024-07-09 04:04:30.389872,57,M,Free,Video_Song_1235,The Weeknd,Album_13,Classical,2017,I get by with a little help from my friends,V1235,0.368,1
I00029,U0156,Audio,Skip,1,2025-06-24 20:42:30.389872,50,F,Free,Audio_Song_717,The Weeknd,Album_9,Rock,1998,"You're simply the best, better than all the rest",A717,0.438,0
I00030,U0415,Video,Listen,5,2023-07-15 12:41:30.389872,55,F,Free,Video_Song_987,Bob Dylan,Album_34,Pop,2012,"Hello from the other side, I must have called a thousand times",V987,-0.144,1
I00031,U0140,Video,Skip,1,2025-09-05 00:25:30.389872,33,M,Free,Video_Song_1038,Elvis Presley,Album_91,Electronic,2014,"Every breath you take, every move you make",V1038,-0.999,0
I00032,U0194,Audio,Like,4,2023-01-08 10:50:30.389872,55,F,Premium,Audio_Song_1058,Prince,Album_8,Hip-Hop,1999,"Nothing else matters, never cared for what they do",A1058,-0.116,1
I00033,U0398,Audio,Share,5,2024-01-12 05:13:30.389872,42,M,Premium,Audio_Song_1870,Adele,Album_52,Rock,1994,"Hello from the other side, I must have called a thousand times",A1870,-0.977,1
I00034,U0361,Audio,Share,1,2025-08-27 02:46:30.389872,15,F,Premium,Audio_Song_2242,U2,Album_98,Pop,2013,Hit me baby one more time,A2242,-0.03,0
I00035,U0481,Audio,Skip,4,2024-07-13 09:52:30.389872,57,F,Premium,Audio_Song_1362,Megan Thee Stallion,Album_96,Rock,2001,"Let it be, let it be, let it be, let it be",A1362,-0.658,0
I00036,U0169,Video,Skip,2,2025-05-28 11:54:30.389872,47,M,Free,Video_Song_2446,Mariah Carey,Album_100,Classical,2010,"I see a little silhouetto of a man, Scaramouche, Scaramouche",V2446,0.766,0
I00037,U0080,Video,Listen,3,2025-05-05 09:39:30.389872,19,F,Premium,Video_Song_422,Prince,Album_61,Electronic,2000,"Shake it off, shake it off",V422,-0.482,0
I00038,U0172,Video,Listen,4,2023-11-27 21:51:30.389872,19,F,Premium,Video_Song_2067,Bob Marley,Album_27,Jazz,2006,"I see a little silhouetto of a man, Scaramouche, Scaramouche",V2067,0.847,1
I00039,U0330,Video,Share,4,2024-11-12 20:19:30.389872,28,F,Free,Video_Song_1534,Charlie Puth,Album_65,Hip-Hop,1995,"I want to hold your hand, I want to hold your hand",V1534,-0.596,1
I00040,U0302,Audio,Skip,5,2024-01-04 15:40:30.389872,18,M,Premium,Audio_Song_853,Shawn Mendes,Album_18,Classical,1994,"Nothing else matters, never cared for what they do",A853,0.674,0
