user_id,dandwith_used,antena_id,date_and_time,duration
638192,92,4287776,2015-01-01 00:00:00,0:36:47
333546,441,3664967,2015-01-01 00:40:34,0:18:38
649811,351,3017369,2015-01-01 01:37:13,0:46:52
412762,327,5273090,2015-01-01 02:05:15,0:05:33
459020,356,3197614,2015-01-01 02:13:23,0:31:46
123514,253,2786648,2015-01-01 02:47:14,0:02:33
564122,260,1777309,2015-01-01 02:56:56,0:39:54
119796,434,2137198,2015-01-01 03:46:30,0:52:26
236907,369,3397338,2015-01-01 04:46:00,0:18:41
245167,406,2760906,2015-01-01 05:33:31,0:09:49
441791,363,5645753,2015-01-01 06:13:28,0:57:35
628854,20,6059278,2015-01-01 06:53:12,0:54:06
225178,481,935777,2015-01-01 07:08:17,0:16:33
781819,357,5036230,2015-01-01 07:09:12,0:26:25
191622,218,3624960,2015-01-01 07:37:05,0:25:34
820116,232,6869906,2015-01-01 08:10:45,0:59:42
790781,258,3884389,2015-01-01 08:25:15,0:35:34
400123,11,2556146,2015-01-01 08:35:37,0:19:29
241892,174,4951622,2015-01-01 08:55:54,0:18:58
942442,343,6782431,2015-01-01 09:05:33,0:23:14
441870,315,5265900,2015-01-01 09:28:17,0:50:03
519735,412,4064968,2015-01-01 09:43:10,0:30:47
536355,82,3524894,2015-01-01 10:08:29,0:58:40
208948,255,5062814,2015-01-01 10:09:22,0:34:18
748037,137,1417601,2015-01-01 10:41:22,0:05:01
826577,155,6812145,2015-01-01 11:14:51,0:55:56
424791,303,825246,2015-01-01 12:03:29,0:51:58
931749,59,3197614,2015-01-01 12:53:13,0:57:59
303568,399,4452570,2015-01-01 13:14:15,0:10:06
347454,125,5954932,2015-01-01 14:11:38,0:23:51
449514,263,1634205,2015-01-01 14:32:52,0:33:13
641947,464,3921781,2015-01-01 14:53:36,0:29:00
110215,484,2506333,2015-01-01 15:15:50,0:46:10
424603,301,4072429,2015-01-01 15:49:21,0:01:32
360869,221,4524646,2015-01-01 16:34:31,0:32:33
517645,344,1129642,2015-01-01 17:18:32,0:55:22
843464,154,6262141,2015-01-01 17:34:17,0:00:28
817857,391,3392213,2015-01-01 18:26:57,0:22:49
814931,340,1890363,2015-01-01 18:41:12,0:40:00
185759,456,6156058,2015-01-01 19:40:20,0:36:26
954729,470,3255627,2015-01-01 20:23:33,0:59:24
382851,213,1592640,2015-01-01 20:32:17,0:04:39
396551,88,3880947,2015-01-01 21:17:04,0:40:24
911593,200,4125789,2015-01-01 21:26:02,0:38:08
481643,195,5563359,2015-01-01 21:35:16,0:37:58
224422,164,3632507,2015-01-01 22:28:26,0:37:49
325225,172,1505468,2015-01-01 22:29:21,0:02:27
654987,391,6406021,2015-01-01 22:46:58,0:13:18
129634,311,4049947,2015-01-01 23:43:26,0:30:18
587706,360,6017776,2015-01-01 23:59:55,0:08:41
945010,4,6466603,2015-01-02 00:04:58,0:54:26
329120,243,3888861,2015-01-02 00:17:34,0:54:10
325225,276,6215130,2015-01-02 00:39:50,0:34:00
280659,72,4862083,2015-01-02 01:31:12,0:11:23
773737,340,1653935,2015-01-02 02:23:51,0:18:20
662472,103,2786589,2015-01-02 02:51:34,0:48:00
708168,106,4103911,2015-01-02 03:35:57,0:12:10
741709,15,6833838,2015-01-02 03:42:24,0:52:45
109683,494,2411869,2015-01-02 04:02:17,0:29:40
304338,292,1571985,2015-01-02 04:32:21,0:31:27
745804,330,5430745,2015-01-02 05:03:49,0:44:45
446160,409,1558953,2015-01-02 05:23:32,0:15:55
158043,493,1647384,2015-01-02 05:39:34,0:11:03
225733,259,6778912,2015-01-02 05:47:23,0:49:02
931353,171,5496468,2015-01-02 06:22:42,0:25:49
455736,58,1720835,2015-01-02 06:53:53,0:30:13
362662,114,6347608,2015-01-02 07:46:28,0:07:57
299520,75,5941044,2015-01-02 08:42:31,0:55:12
795804,67,4140946,2015-01-02 09:29:23,0:12:56
892108,448,5215077,2015-01-02 09:36:36,0:18:15
428573,342,802183,2015-01-02 09:53:53,0:59:45
698469,8,3978511,2015-01-02 10:48:13,0:04:14
267733,386,6460383,2015-01-02 10:49:28,0:41:31
799279,70,6714689,2015-01-02 11:23:43,0:23:59
681209,350,6074622,2015-01-02 12:17:12,0:06:58
633277,15,4015661,2015-01-02 12:22:07,0:43:42
564061,353,4287776,2015-01-02 12:43:29,0:47:51
195267,90,3160287,2015-01-02 12:45:43,0:13:07
804047,367,1137367,2015-01-02 13:32:08,0:36:08
615453,7,4177969,2015-01-02 13:52:48,0:20:41
448665,433,978153,2015-01-02 14:14:28,0:03:08
881143,109,5566687,2015-01-02 14:58:31,0:31:54
631749,181,6370966,2015-01-02 15:25:20,0:12:59
353857,59,1066939,2015-01-02 15:55:37,0:23:27
918924,266,5948101,2015-01-02 16:23:33,0:10:57
937775,285,1221831,2015-01-02 17:04:17,0:08:03
353596,75,2649666,2015-01-02 17:19:07,0:37:01
538431,417,2932604,2015-01-02 17:48:10,0:09:47
185759,374,5187167,2015-01-02 17:53:02,0:52:27
317991,448,3284273,2015-01-02 18:39:51,0:34:36
388211,395,6151639,2015-01-02 19:07:14,0:31:03
926004,300,3618757,2015-01-02 20:05:15,0:16:49
919979,490,1066950,2015-01-02 20:09:30,0:52:04
948037,15,6830200,2015-01-02 20:14:33,0:10:55
303529,315,897682,2015-01-02 20:35:55,0:24:01
149578,145,6921506,2015-01-02 21:28:16,0:51:17
543239,227,1025454,2015-01-02 22:18:16,0:55:52
551506,286,5929398,2015-01-02 23:15:47,0:00:58
682811,285,2131396,2015-01-02 23:45:17,0:07:19
344946,375,5027836,2015-01-03 00:17:32,0:03:33
136838,162,947272,2015-01-03 00:37:34,0:54:15
692542,216,4285384,2015-01-03 00:40:58,0:35:15
287607,174,3841808,2015-01-03 01:17:26,0:01:22
160212,20,2445040,2015-01-03 02:15:06,0:16:44
631142,346,904392,2015-01-03 02:50:26,0:06:00
281689,396,6936720,2015-01-03 03:22:36,0:18:17
564184,481,4619371,2015-01-03 04:09:35,0:50:05
795804,415,3153526,2015-01-03 04:40:47,0:23:20
534300,108,3294448,2015-01-03 04:58:39,0:50:54
601633,383,918369,2015-01-03 05:40:26,0:06:11
569590,361,2573136,2015-01-03 06:05:30,0:28:06
839591,94,1120548,2015-01-03 07:02:37,0:20:15
943792,219,736689,2015-01-03 07:56:59,0:33:40
251440,135,995504,2015-01-03 08:11:42,0:30:27
666304,64,3601929,2015-01-03 08:40:53,0:52:50
678876,51,1239008,2015-01-03 09:11:13,0:58:28
764805,390,3124161,2015-01-03 09:44:51,0:05:56
437181,108,3981416,2015-01-03 10:32:39,0:03:41
386207,439,2939239,2015-01-03 11:00:40,0:14:51
640117,123,1763902,2015-01-03 11:34:54,0:05:09
780199,153,2197753,2015-01-03 12:02:01,0:41:05
523716,107,6766927,2015-01-03 12:45:25,0:20:39
100684,486,4682578,2015-01-03 13:09:56,0:20:06
907542,172,5981452,2015-01-03 13:18:35,0:45:01
554189,423,897682,2015-01-03 13:42:06,0:09:52
645264,463,6366662,2015-01-03 14:34:14,0:03:08
327047,388,4209987,2015-01-03 15:04:46,0:18:08
350882,263,828067,2015-01-03 15:52:56,0:46:26
851347,262,5888952,2015-01-03 16:16:36,0:26:02
649131,230,6093510,2015-01-03 16:40:01,0:43:02
843464,263,5957401,2015-01-03 16:54:03,0:04:55
236907,236,2083482,2015-01-03 17:17:22,0:22:31
248876,408,3189560,2015-01-03 17:39:20,0:51:45
425338,429,3345892,2015-01-03 18:24:23,0:00:46
694183,37,4801681,2015-01-03 18:43:49,0:27:04
267120,61,4046674,2015-01-03 19:39:59,0:37:02
623888,88,6236871,2015-01-03 20:27:54,0:57:05
332018,152,1544892,2015-01-03 21:22:00,0:01:02
918924,196,4209987,2015-01-03 22:00:28,0:52:45
131489,429,1542557,2015-01-03 22:18:31,0:52:42
147954,34,1995324,2015-01-03 22:31:17,0:13:02
444557,488,1701251,2015-01-03 23:18:40,0:07:31
505436,168,3131130,2015-01-04 00:09:10,0:51:21
892108,40,5368704,2015-01-04 00:33:02,0:09:23
448489,75,2272741,2015-01-04 00:37:18,0:19:43
931749,33,6850746,2015-01-04 01:23:46,0:49:38
269018,410,4957247,2015-01-04 02:08:06,0:06:55
259083,446,1767679,2015-01-04 03:06:28,0:44:43
726678,311,4754505,2015-01-04 03:40:14,0:35:48
242361,171,3282404,2015-01-04 03:45:12,0:04:23
808893,201,6794777,2015-01-04 04:00:37,0:14:01
430864,24,1695084,2015-01-04 04:28:44,0:33:00
769196,344,5738883,2015-01-04 04:31:52,0:30:23
621836,438,2351610,2015-01-04 04:45:44,0:22:08
544592,183,4424502,2015-01-04 04:59:02,0:54:02
918924,156,3475847,2015-01-04 05:58:07,0:57:38
108420,77,6452267,2015-01-04 06:49:06,0:46:00
936397,366,4683845,2015-01-04 06:50:33,0:18:02
334386,483,4586950,2015-01-04 07:34:18,0:12:46
425341,488,3026623,2015-01-04 08:32:00,0:14:52
421513,360,5534822,2015-01-04 08:38:34,0:31:51
340001,372,3884389,2015-01-04 08:59:04,0:54:52
524465,223,6864584,2015-01-04 09:26:20,0:28:05
223968,221,4087446,2015-01-04 10:01:48,0:04:58
935949,473,4773983,2015-01-04 10:49:02,0:35:50
539227,268,5701816,2015-01-04 11:17:17,0:07:19
829946,463,5147690,2015-01-04 11:45:37,0:46:22
487236,371,4529005,2015-01-04 12:18:49,0:38:32
641389,449,2552644,2015-01-04 12:30:56,0:00:32
303376,83,4716687,2015-01-04 13:08:34,0:10:52
581969,336,3131130,2015-01-04 13:29:03,0:55:30
610518,257,4172485,2015-01-04 13:51:40,0:23:40
345709,251,2169534,2015-01-04 14:27:34,0:52:28
604322,6,1149569,2015-01-04 14:47:21,0:05:56
719359,166,4825264,2015-01-04 15:24:31,0:32:29
442794,82,2130575,2015-01-04 15:40:38,0:03:13
583984,281,6011650,2015-01-04 16:34:20,0:51:22
601958,83,3754717,2015-01-04 17:17:11,0:28:46
778887,98,6191323,2015-01-04 17:18:14,0:47:54
409943,15,1138117,2015-01-04 17:37:01,0:09:09
867078,47,1128886,2015-01-04 17:38:33,0:22:09
599462,328,943532,2015-01-04 18:04:18,0:34:25
102027,460,5457324,2015-01-04 18:32:56,0:20:23
408115,353,3487149,2015-01-04 18:54:20,0:15:30
682880,299,6562493,2015-01-04 19:49:11,0:34:29
539529,21,4478354,2015-01-04 20:24:12,0:46:51
161109,252,3827065,2015-01-04 21:21:01,0:29:27
354164,424,2729140,2015-01-04 21:56:23,0:34:44
919258,48,1463557,2015-01-04 22:56:19,0:59:33
410444,94,4763056,2015-01-04 23:49:35,0:46:31
886132,296,1701251,2015-01-05 00:31:30,0:40:58
139646,472,6804442,2015-01-05 01:24:45,0:44:54
474811,70,2568407,2015-01-05 01:59:54,0:38:06
468560,172,6433751,2015-01-05 02:34:02,0:57:43
679178,93,4800133,2015-01-05 03:20:20,0:55:18
569511,295,4608500,2015-01-05 03:56:34,0:23:43
273453,92,3259554,2015-01-05 04:38:49,0:14:02
128570,397,4217173,2015-01-05 05:24:54,0:49:05
419563,312,929683,2015-01-05 05:49:07,0:35:46
128462,293,3269190,2015-01-05 06:24:32,0:25:40
332018,427,1780617,2015-01-05 06:43:23,0:03:30
666304,491,6343380,2015-01-05 07:23:15,0:32:18
416130,486,3756136,2015-01-05 07:45:00,0:13:26
820364,476,936315,2015-01-05 08:11:55,0:27:42
700708,263,5236499,2015-01-05 09:06:54,0:23:42
511852,437,4915605,2015-01-05 09:44:31,0:35:49
378721,20,6713924,2015-01-05 10:17:51,0:11:25
702124,56,3632507,2015-01-05 11:08:48,0:38:14
587706,191,4109874,2015-01-05 11:51:39,0:57:52
485010,485,6393783,2015-01-05 12:14:40,0:17:54
693420,10,3468302,2015-01-05 13:11:05,0:30:36
409943,292,3441704,2015-01-05 13:26:40,0:25:06
599095,277,6864584,2015-01-05 13:28:27,0:29:29
867548,155,1246364,2015-01-05 13:39:22,0:30:43
872993,165,3107421,2015-01-05 14:34:41,0:38:28
868229,35,1833625,2015-01-05 15:12:54,0:29:44
823828,481,6363812,2015-01-05 15:36:47,0:29:15
830225,422,2618172,2015-01-05 16:29:28,0:41:41
153161,226,5620530,2015-01-05 16:40:11,0:30:26
803882,312,5400003,2015-01-05 17:18:27,0:01:14
551506,305,2003797,2015-01-05 17:29:48,0:44:55
843485,169,5760710,2015-01-05 18:06:06,0:13:13
353950,72,1805358,2015-01-05 18:14:31,0:47:22
437022,319,2173310,2015-01-05 18:21:41,0:55:38
102637,156,5838326,2015-01-05 18:54:58,0:52:58
444482,251,1014103,2015-01-05 19:03:41,0:06:02
698537,377,6378823,2015-01-05 19:47:35,0:24:47
887875,165,3437322,2015-01-05 20:35:28,0:45:50
297157,284,1009067,2015-01-05 20:37:11,0:41:48
717019,203,5545156,2015-01-05 20:51:36,0:31:26
241404,62,2262791,2015-01-05 21:05:45,0:18:17
468560,220,1557855,2015-01-05 22:02:44,0:54:17
601614,121,3184612,2015-01-05 22:46:13,0:48:07
618568,433,5792241,2015-01-05 23:27:05,0:55:52
574476,213,4683845,2015-01-05 23:58:33,0:50:02
