,antena_id,antena_provider,antena_zip_code,antena_range,antena_capacity,country
0,4206052,LYBRA,3151,153,165226,AR
1,4864309,Sunrise,8146,198,169111,AR
2,6936974,LYBRA,6439,66,29794,AR
3,4195935,LYBRA,3592,158,87953,AR
4,1575985,SALT,3045,94,84865,AR
5,4692514,AT&T,2206,182,16821,AR
6,3623343,SWISSCOM,4296,106,113385,AR
7,5284991,Sunrise,2173,181,196472,AR
8,5305552,VERIZON,4134,68,181778,AR
9,2190716,T-MOBILE,3280,57,9186,AR
10,1992437,T-MOBILE,2864,143,54865,AR
11,1129642,LYBRA,2305,96,152779,AR
12,1477283,T-MOBILE,7107,75,107166,AR
13,1825405,T-MOBILE,4179,185,73463,AR
14,1159102,LYBRA,4212,157,138105,AR
15,1140693,Vodafone,2721,191,183619,AR
16,5985160,VERIZON,9113,60,59855,AR
17,3487149,LYBRA,6471,78,22625,AR
18,6609930,SALT,3156,147,180635,AR
19,6378179,VERIZON,4419,176,169542,AR
20,3747508,SALT,5870,83,53352,AR
21,2441096,Vodafone,4195,145,33087,AR
22,1864189,AT&T,3730,174,61005,AR
23,2397647,LYBRA,7543,76,22418,AR
24,5660433,LYBRA,5889,42,6040,AR
25,4491882,T-MOBILE,4200,178,158538,AR
26,5077813,Sunrise,5827,185,73360,AR
27,5660156,VERIZON,1913,103,146755,AR
28,2195468,SWISSCOM,6620,190,97898,AR
29,3564260,SWISSCOM,6641,131,192872,AR
30,3703830,VERIZON,3254,128,11354,AR
31,4516487,VERIZON,5203,103,147587,AR
32,5161977,AT&T,2357,113,67097,AR
33,5200918,LYBRA,6051,198,50039,AR
34,3184612,ORANGE,4701,137,79988,AR
35,4980845,Sunrise,5189,86,128406,AR
36,5935275,LYBRA,5419,59,99602,AR
37,5191600,T-MOBILE,4144,40,113621,AR
38,1066950,ORANGE,1807,196,56926,AR
39,6630514,T-MOBILE,1848,173,5466,AR
40,6466603,T-MOBILE,8349,150,97539,AR
41,2445040,Vodafone,7609,179,109463,AR
42,5580018,VERIZON,5149,178,46624,AR
43,5745036,T-MOBILE,2650,94,36065,AR
44,4696477,SALT,6312,77,140559,AR
45,5031833,Sunrise,5965,53,53732,AR
46,1228120,Vodafone,5253,123,126436,AR
47,2470639,VERIZON,3263,152,38855,AR
48,6942978,T-MOBILE,2900,59,73837,AR
49,6005639,VERIZON,2916,130,182942,AR
50,5428349,LYBRA,2561,64,80694,AR
51,1188418,SWISSCOM,3322,126,171026,AR
52,5150861,Sunrise,9173,136,168843,AT
53,6894666,ORANGE,7562,120,142201,AT
54,3891359,Vodafone,9073,48,35851,AT
55,3697005,VERIZON,8922,113,23384,AT
56,5870009,SALT,4342,151,34161,AT
57,2449925,ORANGE,8693,172,58789,AT
58,3053217,ORANGE,6526,185,125943,AT
59,854939,AT&T,6060,195,54431,AT
60,6018171,AT&T,6787,115,40469,AT
61,4125789,AT&T,6115,44,104794,AT
62,4969313,VERIZON,3594,146,21427,AT
63,2648751,T-MOBILE,3863,190,190628,AT
64,1408395,SWISSCOM,5102,46,68295,AT
65,1401239,ORANGE,8530,110,76355,AT
66,2263489,LYBRA,1070,78,44297,AT
67,4052740,LYBRA,3223,166,161103,AT
68,4237011,LYBRA,6971,113,14912,AT
69,4878078,SALT,3762,91,52303,AT
70,1732675,ORANGE,4841,148,182130,AT
71,1525486,SWISSCOM,8965,43,40989,AT
72,2495763,LYBRA,9312,198,81030,AT
73,4915567,AT&T,6861,40,122010,AT
74,2005205,LYBRA,4092,94,182677,AT
75,2962674,LYBRA,9713,73,76268,AT
76,5341530,SWISSCOM,3664,192,41793,AT
77,1722433,Vodafone,8793,105,195821,AT
78,1214850,Sunrise,6173,149,34875,AT
79,4853202,Sunrise,4252,112,153584,AT
80,2754206,Vodafone,4721,151,198381,AT
81,2403018,Vodafone,8820,166,97249,AT
82,1707743,SWISSCOM,2261,198,41371,AT
83,6949527,Sunrise,9913,91,147307,AT
84,2449089,VERIZON,8480,187,179246,AT
85,4798298,ORANGE,4532,117,142137,AT
86,1719093,LYBRA,9451,74,169926,AT
87,5545156,ORANGE,9815,92,175835,AT
88,5147690,VERIZON,5542,114,113154,AT
89,6300071,AT&T,4755,129,42585,AT
90,6597439,Vodafone,1120,165,154167,AT
91,1143419,T-MOBILE,3762,177,48389,AT
92,2772039,ORANGE,7162,81,22519,AT
93,2159649,SALT,6780,186,82282,AT
94,2894548,T-MOBILE,9913,118,60673,AT
95,2463295,SWISSCOM,2293,129,139319,AT
96,895860,Vodafone,3211,64,136713,AT
97,1260791,ORANGE,6114,96,143471,AT
98,4259459,Vodafone,8402,42,154736,AT
99,4970378,T-MOBILE,9183,194,55952,AT
100,5956687,Sunrise,9135,108,140258,AT
101,3928459,Vodafone,5084,141,56550,AT
102,5026341,Sunrise,3512,51,176899,AT
103,2217023,ORANGE,2642,149,31708,AT
104,5632524,LYBRA,AZ 4316,69,105074,AZ
105,1423896,ORANGE,AZ 2417,84,137730,AZ
106,1028855,SALT,AZ 1300,152,6887,AZ
107,2986305,AT&T,AZ 5432,55,93944,AZ
108,5242499,Sunrise,AZ 2002,105,71989,AZ
109,3890890,LYBRA,AZ 3333,106,122209,AZ
110,6007598,ORANGE,AZ 3711,108,175229,AZ
111,762447,Sunrise,AZ 1223,167,178187,AZ
112,5935166,Vodafone,AZ 1226,51,162539,AZ
113,5276156,SALT,AZ 5740,65,38666,AZ
114,2231398,AT&T,AZ 6012,92,27689,AZ
115,5857646,Vodafone,AZ 0811,117,172460,AZ
116,5203256,ORANGE,AZ 0429,78,42222,AZ
117,1259600,LYBRA,AZ 1917,109,193010,AZ
118,1852446,SALT,AZ 4003,40,31308,AZ
119,1512941,Sunrise,AZ 2232,90,162882,AZ
120,1433252,Sunrise,AZ 2333,157,68556,AZ
121,5724877,LYBRA,AZ 3636,187,181797,AZ
122,3082096,AT&T,AZ 5434,191,4001,AZ
123,5538475,SALT,AZ 2120,125,107696,AZ
124,5871837,Sunrise,AZ 4216,128,15932,AZ
125,3559809,T-MOBILE,AZ 5515,78,195718,AZ
126,2269025,Sunrise,AZ 2139,118,100697,AZ
127,5200749,AT&T,AZ 5521,76,56554,AZ
128,984610,SALT,AZ 1029,63,64244,AZ
129,5325427,T-MOBILE,AZ 1319,120,106638,AZ
130,3519530,LYBRA,AZ 5611,53,171857,AZ
131,4444912,T-MOBILE,AZ 1082,44,109169,AZ
