,flightName,departure,destination,date,userID
0,KX65826,AR,IT,20-01-2010,317991
1,CL12336,IT,MT,16-06-2010,317991
2,YN106988,MT,SE,08-05-2011,317991
3,CB58289,SE,EE,08-11-2011,317991
4,SX625101,EE,AZ,17-11-2011,317991
5,FI81778,AZ,ES,19-01-2012,317991
6,WL73165,ES,RU,24-02-2012,317991
7,NG103876,RU,JP,28-06-2012,317991
8,IX62714,JP,AT,24-07-2012,317991
9,BT46823,AT,GB,25-08-2012,317991
10,JC110193,GB,KR,12-09-2012,317991
11,UF101853,KR,DZ,16-08-2013,317991
12,LI26752,DZ,LU,29-11-2013,317991
13,SX25878,LU,DE,07-03-2014,317991
14,MT75485,DE,GT,02-04-2014,317991
15,ZZ101384,GT,HU,18-10-2014,317991
16,HZ12741,HU,BG,14-07-2015,317991
17,VJ46313,BG,AR,09-06-2016,317991
18,JM292310,AR,BR,19-10-2016,317991
19,CQ210993,BR,CR,27-09-2017,317991
20,PS311063,CR,CO,28-02-2018,317991
21,UN91215,CO,KR,15-10-2018,317991
22,CB93843,KR,MY,07-05-2019,317991
23,PU341107,MY,CH,24-07-2019,317991
24,OK7791010,CH,MD,01-10-2019,317991
25,YQ81668,MD,PR,21-05-2020,317991
26,PN128107,PR,RU,29-01-2021,317991
27,MA710838,RU,IS,03-08-2021,317991
28,KO815110,IS,LU,07-12-2021,317991
29,TI18392,LU,TR,06-03-2022,317991
30,HQ121043,TR,BD,03-07-2022,317991
31,MH62591,BD,ZA,04-10-2022,317991
32,PU75695,AR,CR,26-11-2010,241892
33,LB699610,CR,MX,14-05-2011,241892
34,RT659106,MX,BD,18-11-2011,241892
35,WY5105106,BD,PL,20-04-2012,241892
36,QW841041,PL,IE,19-12-2012,241892
37,TZ637210,IE,IS,18-06-2013,241892
38,SX410771,IS,AZ,04-08-2013,241892
39,DS96816,AZ,IT,05-06-2014,241892
40,MB54694,IT,HU,19-06-2014,241892
41,JN242107,HU,DE,27-04-2015,241892
42,TX10961010,DE,HU,17-07-2015,241892
43,OX86253,HU,AR,24-05-2016,241892
44,ZX106423,AR,LU,17-01-2017,241892
45,XI96536,LU,ZA,05-10-2017,241892
46,CC88257,ZA,BD,06-03-2018,241892
47,MR1010337,BD,FI,28-09-2018,241892
48,SM967610,FI,SG,06-04-2019,241892
49,UO72233,SG,IS,25-10-2019,241892
50,AS798410,IS,LT,08-11-2019,241892
51,JL17193,LT,FI,20-06-2020,241892
52,TY85417,FI,IS,17-10-2020,241892
53,MZ59623,IS,SG,24-06-2021,241892
54,DO361056,SG,LT,22-09-2021,241892
55,MK14158,LT,IS,24-10-2021,241892
56,NT143210,IS,FI,04-12-2021,241892
57,CS914810,FI,AR,11-02-2022,241892
58,BD52553,AR,MY,04-11-2022,241892
59,QS161066,US,PL,01-10-2010,303376
60,WB610132,PL,TR,07-11-2010,303376
61,ZM92588,TR,LU,11-10-2011,303376
62,SZ55911,LU,JP,12-01-2012,303376
63,JN8105108,JP,ZA,24-04-2012,303376
64,VA53496,ZA,MY,14-05-2012,303376
65,SP72267,MY,DK,12-10-2012,303376
