AdministrativeDivision,Country,Latitude,Longitude,Deaths,Confirmed,Recovered,Date
Maharashtra,India,19.45377788905411,76.12177018861918,8053.0,180298.0,93154.0,2020-07-01
Maharashtra,India,19.45377788905411,76.12177018861918,8178.0,186626.0,101172.0,2020-07-02
Maharashtra,India,19.45377788905411,76.12177018861918,8376.0,192990.0,104687.0,2020-07-03
Maharashtra,India,19.45377788905411,76.12177018861918,8671.0,200064.0,108082.0,2020-07-04
Maharashtra,India,19.45377788905411,76.12177018861918,8822.0,206619.0,111740.0,2020-07-05
Maharashtra,India,19.45377788905411,76.12177018861918,9026.0,211987.0,115262.0,2020-07-06
Maharashtra,India,19.45377788905411,76.12177018861918,9250.0,217121.0,118558.0,2020-07-07
Maharashtra,India,19.45377788905411,76.12177018861918,9448.0,223724.0,123192.0,2020-07-08
Maharashtra,India,19.45377788905411,76.12177018861918,9667.0,230599.0,127259.0,2020-07-09
Maharashtra,India,19.45377788905411,76.12177018861918,9893.0,238461.0,132625.0,2020-07-10
Maharashtra,India,19.45377788905411,76.12177018861918,10116.0,246600.0,136985.0,2020-07-11
Maharashtra,India,19.45377788905411,76.12177018861918,10289.0,254427.0,140325.0,2020-07-12
Maharashtra,India,19.45377788905411,76.12177018861918,10482.0,260924.0,144507.0,2020-07-13
Maharashtra,India,19.45377788905411,76.12177018861918,10695.0,267665.0,149007.0,2020-07-14
Maharashtra,India,19.45377788905411,76.12177018861918,10928.0,275640.0,152613.0,2020-07-15
Maharashtra,India,19.45377788905411,76.12177018861918,11194.0,284281.0,158140.0,2020-07-16
Maharashtra,India,19.45377788905411,76.12177018861918,11452.0,292589.0,160357.0,2020-07-17
Maharashtra,India,19.45377788905411,76.12177018861918,11596.0,300937.0,165663.0,2020-07-18
Maharashtra,India,19.45377788905411,76.12177018861918,11854.0,310455.0,169569.0,2020-07-19
Maharashtra,India,19.45377788905411,76.12177018861918,12030.0,318695.0,175029.0,2020-07-20
Maharashtra,India,19.45377788905411,76.12177018861918,12276.0,327031.0,182217.0,2020-07-21
Maharashtra,India,19.45377788905411,76.12177018861918,12556.0,337607.0,187769.0,2020-07-22
Maharashtra,India,19.45377788905411,76.12177018861918,12854.0,347502.0,194253.0,2020-07-23
Maharashtra,India,19.45377788905411,76.12177018861918,13132.0,357117.0,199967.0,2020-07-24
Maharashtra,India,19.45377788905411,76.12177018861918,13389.0,366368.0,207194.0,2020-07-25
Maharashtra,India,19.45377788905411,76.12177018861918,13656.0,375799.0,213238.0,2020-07-26
Maharashtra,India,19.45377788905411,76.12177018861918,13883.0,383723.0,221944.0,2020-07-27
Maharashtra,India,19.45377788905411,76.12177018861918,13883.0,383723.0,221944.0,2020-07-28
Maharashtra,India,19.45377788905411,76.12177018861918,14463.0,400651.0,239755.0,2020-07-29
Maharashtra,India,19.45377788905411,76.12177018861918,14729.0,411798.0,248615.0,2020-07-30
Maharashtra,India,19.45377788905411,76.12177018861918,14994.0,422118.0,256158.0,2020-07-31
Maharashtra,India,19.45377788905411,76.12177018861918,15316.0,431719.0,266883.0,2020-08-01
Maharashtra,India,19.45377788905411,76.12177018861918,15576.0,441228.0,276809.0,2020-08-02
Maharashtra,India,19.45377788905411,76.12177018861918,15842.0,450196.0,287030.0,2020-08-03
Maharashtra,India,19.45377788905411,76.12177018861918,16142.0,457956.0,299356.0,2020-08-04
Maharashtra,India,19.45377788905411,76.12177018861918,16476.0,468265.0,305521.0,2020-08-05
Maharashtra,India,19.45377788905411,76.12177018861918,16792.0,479779.0,316375.0,2020-08-06
Maharashtra,India,19.45377788905411,76.12177018861918,17092.0,490262.0,327281.0,2020-08-07
Maharashtra,India,19.45377788905411,76.12177018861918,17367.0,503084.0,338362.0,2020-08-08
Maharashtra,India,19.45377788905411,76.12177018861918,17757.0,515332.0,351710.0,2020-08-09
Maharashtra,India,19.45377788905411,76.12177018861918,18050.0,524513.0,358421.0,2020-08-10
Maharashtra,India,19.45377788905411,76.12177018861918,18306.0,535601.0,368435.0,2020-08-11
Maharashtra,India,19.45377788905411,76.12177018861918,18650.0,548313.0,381843.0,2020-08-12
Maharashtra,India,19.45377788905411,76.12177018861918,19063.0,560126.0,390958.0,2020-08-13
Maharashtra,India,19.45377788905411,76.12177018861918,19427.0,572734.0,401442.0,2020-08-14
