age,workclass,education,education-num,occupation,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
39,State-gov,Bachelors,13,Adm-clerical,White,Male,2174,0,40,United-States,<=50K
50,Self-emp-not-inc,Bachelors,13,Exec-managerial,White,Male,0,0,13,United-States,<=50K
38,Private,HS-grad,9,Handlers-cleaners,White,Male,0,0,40,United-States,<=50K
53,Private,11th,7,Handlers-cleaners,Black,Male,0,0,40,United-States,<=50K
28,Private,Bachelors,13,Prof-specialty,Black,Female,0,0,40,Cuba,<=50K
37,Private,Masters,14,Exec-managerial,White,Female,0,0,40,United-States,<=50K
49,Private,9th,5,Other-service,Black,Female,0,0,16,Jamaica,<=50K
52,Self-emp-not-inc,HS-grad,9,Exec-managerial,White,Male,0,0,45,United-States,>50K
31,Private,Masters,14,Prof-specialty,White,Female,14084,0,50,United-States,>50K
42,Private,Bachelors,13,Exec-managerial,White,Male,5178,0,40,United-States,>50K
37,Private,Some-college,10,Exec-managerial,Black,Male,0,0,80,United-States,>50K
30,State-gov,Bachelors,13,Prof-specialty,Asian-Pac-Islander,Male,0,0,40,India,>50K
23,Private,Bachelors,13,Adm-clerical,White,Female,0,0,30,United-States,<=50K
32,Private,Assoc-acdm,12,Sales,Black,Male,0,0,50,United-States,<=50K
34,Private,7th-8th,4,Transport-moving,Amer-Indian-Eskimo,Male,0,0,45,Mexico,<=50K
25,Self-emp-not-inc,HS-grad,9,Farming-fishing,White,Male,0,0,35,United-States,<=50K
32,Private,HS-grad,9,Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
38,Private,11th,7,Sales,White,Male,0,0,50,United-States,<=50K
43,Self-emp-not-inc,Masters,14,Exec-managerial,White,Female,0,0,45,United-States,>50K
40,Private,Doctorate,16,Prof-specialty,White,Male,0,0,60,United-States,>50K
54,Private,HS-grad,9,Other-service,Black,Female,0,0,20,United-States,<=50K
35,Federal-gov,9th,5,Farming-fishing,Black,Male,0,0,40,United-States,<=50K
43,Private,11th,7,Transport-moving,White,Male,0,2042,40,United-States,<=50K
59,Private,HS-grad,9,Tech-support,White,Female,0,0,40,United-States,<=50K
56,Local-gov,Bachelors,13,Tech-support,White,Male,0,0,40,United-States,>50K
19,Private,HS-grad,9,Craft-repair,White,Male,0,0,40,United-States,<=50K
39,Private,HS-grad,9,Exec-managerial,White,Male,0,0,80,United-States,<=50K
49,Private,HS-grad,9,Craft-repair,White,Male,0,0,40,United-States,<=50K
23,Local-gov,Assoc-acdm,12,Protective-serv,White,Male,0,0,52,United-States,<=50K
20,Private,Some-college,10,Sales,Black,Male,0,0,44,United-States,<=50K
