,Title,Genre,Premiere,Runtime,IMDB Score,Language
0,Church Degree Yes,Action,"July 09, 2023",123,2.0,English
1,Subject Early Onto,Horror,"June 06, 2022",87,2.6,English
2,Pressure Face Science,Comedy,"April 17, 2023",109,1.7,Japanese
3,Decision Marriage Room,Mystery,"December 03, 2020",50,2.1,Spanish
4,Evening Certainly Method,Horror,"July 07, 2021",50,1.4,Spanish
5,Suddenly Feeling Child,Thriller,"December 27, 2022",110,4.5,Spanish
6,Apply Whole Do,Documentary,"September 13, 2023",56,2.2,Hindi
7,Peace The Environment,Mystery,"December 17, 2020",79,3.2,Italian
8,Field Exactly Soldier,Thriller,"February 25, 2020",133,2.2,Hindi
9,Civil Low Success,Romance,"September 05, 2021",57,2.1,Japanese
10,Subject Sense Official,Horror,"April 25, 2022",120,3.4,Japanese
11,Ball Traditional Still,Documentary,"December 03, 2020",148,2.0,Chinese
12,Their Dark Down,Horror,"November 18, 2021",95,3.2,English
13,Agreement Under Plan,Action,"January 11, 2023",64,4.8,Spanish
14,Action Interview Join,Comedy,"August 31, 2020",120,4.0,English
15,Study Interesting Strong,Action,"October 18, 2021",55,2.8,English
16,Chair System Knowledge,Romance,"January 09, 2020",79,1.3,Hindi
17,Entire National Coach,Romance,"April 08, 2021",124,2.4,Italian
18,Memory Local Four,Action,"June 16, 2021",138,5.0,Spanish
19,Pressure Person Clearly,Mystery,"May 10, 2022",73,3.9,Italian
20,Article Young She,Mystery,"March 30, 2022",99,4.9,English
21,Different Include Oil,Horror,"September 18, 2020",70,4.2,Italian
22,Computer Rock Suddenly,Documentary,"June 24, 2021",83,1.1,Spanish
23,System Consumer Answer,Thriller,"August 19, 2023",76,5.0,Hindi
24,Over Wish Hear,Mystery,"May 15, 2022",106,4.5,Italian
25,Ground Too Republican,Documentary,"May 26, 2022",75,2.9,Hindi
26,Maybe Mission Attorney,Documentary,"September 25, 2022",87,3.8,Japanese
27,Child Speak And,Action,"April 03, 2023",121,2.2,Hindi
28,Professional North I,Drama,"January 29, 2020",81,4.8,Spanish
29,Every Really Wall,Thriller,"April 08, 2022",57,1.4,Italian
30,Industry Already Notice,Horror,"July 27, 2021",142,4.2,Spanish
31,Art Pay Degree,Romance,"July 23, 2020",108,3.7,Spanish
32,Message Election That,Romance,"February 10, 2023",77,3.0,Japanese
33,Anything Return Push,Mystery,"September 15, 2020",126,2.4,Spanish
34,Hold Pressure Picture,Thriller,"November 10, 2020",102,3.0,Chinese
35,Evidence Bank High,Horror,"May 19, 2022",146,1.4,Chinese
36,Clearly Point Quickly,Romance,"September 11, 2020",109,3.2,Chinese
37,Course Address Finish,Thriller,"July 24, 2023",136,4.6,Spanish
38,Receive Whose Analysis,Drama,"December 30, 2021",139,2.6,Spanish
39,Sing Traditional Knowledge,Thriller,"June 27, 2020",105,1.5,Hindi
40,Unit Three Person,Romance,"March 06, 2021",149,1.3,Hindi
