,Relative Compactness,Surface Area,Wall Area,Roof Area,Overall Height,Orientation,Galzing Area,Glazing Area Distribution,Heating Load,Cooling Load
0,0.98,514.5,294.0,110.25,7.0,2.0,0.0,0.0,15.55,21.33
1,0.98,514.5,294.0,110.25,7.0,3.0,0.0,0.0,15.55,21.33
2,0.98,514.5,294.0,110.25,7.0,4.0,0.0,0.0,15.55,21.33
3,0.98,514.5,294.0,110.25,7.0,5.0,0.0,0.0,15.55,21.33
4,0.9,563.5,318.5,122.5,7.0,2.0,0.0,0.0,20.84,28.28
5,0.9,563.5,318.5,122.5,7.0,3.0,0.0,0.0,21.46,25.38
6,0.9,563.5,318.5,122.5,7.0,4.0,0.0,0.0,20.71,25.16
7,0.9,563.5,318.5,122.5,7.0,5.0,0.0,0.0,19.68,29.6
8,0.86,588.0,294.0,147.0,7.0,2.0,0.0,0.0,19.5,27.3
9,0.86,588.0,294.0,147.0,7.0,3.0,0.0,0.0,19.95,21.97
10,0.86,588.0,294.0,147.0,7.0,4.0,0.0,0.0,19.34,23.49
11,0.86,588.0,294.0,147.0,7.0,5.0,0.0,0.0,18.31,27.87
12,0.82,612.5,318.5,147.0,7.0,2.0,0.0,0.0,17.05,23.77
13,0.82,612.5,318.5,147.0,7.0,3.0,0.0,0.0,17.41,21.46
14,0.82,612.5,318.5,147.0,7.0,4.0,0.0,0.0,16.95,21.16
15,0.82,612.5,318.5,147.0,7.0,5.0,0.0,0.0,15.98,24.93
16,0.79,637.0,343.0,147.0,7.0,2.0,0.0,0.0,28.52,37.73
17,0.79,637.0,343.0,147.0,7.0,3.0,0.0,0.0,29.9,31.27
18,0.79,637.0,343.0,147.0,7.0,4.0,0.0,0.0,29.63,30.93
19,0.79,637.0,343.0,147.0,7.0,5.0,0.0,0.0,28.75,39.44
20,0.76,661.5,416.5,122.5,7.0,2.0,0.0,0.0,24.77,29.79
21,0.76,661.5,416.5,122.5,7.0,3.0,0.0,0.0,23.93,29.68
22,0.76,661.5,416.5,122.5,7.0,4.0,0.0,0.0,24.77,29.79
23,0.76,661.5,416.5,122.5,7.0,5.0,0.0,0.0,23.93,29.4
24,0.74,686.0,245.0,220.5,3.5,2.0,0.0,0.0,6.07,10.9
25,0.74,686.0,245.0,220.5,3.5,3.0,0.0,0.0,6.05,11.19
26,0.74,686.0,245.0,220.5,3.5,4.0,0.0,0.0,6.01,10.94
27,0.74,686.0,245.0,220.5,3.5,5.0,0.0,0.0,6.04,11.17
28,0.71,710.5,269.5,220.5,3.5,2.0,0.0,0.0,6.37,11.27
29,0.71,710.5,269.5,220.5,3.5,3.0,0.0,0.0,6.4,11.72
30,0.71,710.5,269.5,220.5,3.5,4.0,0.0,0.0,6.37,11.29
31,0.71,710.5,269.5,220.5,3.5,5.0,0.0,0.0,6.4,11.67
32,0.69,735.0,294.0,220.5,3.5,2.0,0.0,0.0,6.85,11.74
33,0.69,735.0,294.0,220.5,3.5,3.0,0.0,0.0,6.79,12.05
34,0.69,735.0,294.0,220.5,3.5,4.0,0.0,0.0,6.77,11.73
35,0.69,735.0,294.0,220.5,3.5,5.0,0.0,0.0,6.81,11.93
36,0.66,759.5,318.5,220.5,3.5,2.0,0.0,0.0,7.18,12.4
37,0.66,759.5,318.5,220.5,3.5,3.0,0.0,0.0,7.1,12.23
38,0.66,759.5,318.5,220.5,3.5,4.0,0.0,0.0,7.1,12.4
39,0.66,759.5,318.5,220.5,3.5,5.0,0.0,0.0,7.1,12.14
40,0.64,784.0,343.0,220.5,3.5,2.0,0.0,0.0,10.85,16.78
41,0.64,784.0,343.0,220.5,3.5,3.0,0.0,0.0,10.54,16.8
42,0.64,784.0,343.0,220.5,3.5,4.0,0.0,0.0,10.77,16.75
43,0.64,784.0,343.0,220.5,3.5,5.0,0.0,0.0,10.56,16.67
44,0.62,808.5,367.5,220.5,3.5,2.0,0.0,0.0,8.6,12.07
45,0.62,808.5,367.5,220.5,3.5,3.0,0.0,0.0,8.49,12.22
46,0.62,808.5,367.5,220.5,3.5,4.0,0.0,0.0,8.45,12.08
47,0.62,808.5,367.5,220.5,3.5,5.0,0.0,0.0,8.5,12.04
48,0.98,514.5,294.0,110.25,7.0,2.0,0.1,1.0,24.58,26.47
49,0.98,514.5,294.0,110.25,7.0,3.0,0.1,1.0,24.63,26.37
50,0.98,514.5,294.0,110.25,7.0,4.0,0.1,1.0,24.63,26.44
51,0.98,514.5,294.0,110.25,7.0,5.0,0.1,1.0,24.59,26.29
52,0.9,563.5,318.5,122.5,7.0,2.0,0.1,1.0,29.03,32.92
53,0.9,563.5,318.5,122.5,7.0,3.0,0.1,1.0,29.87,29.87
54,0.9,563.5,318.5,122.5,7.0,4.0,0.1,1.0,29.14,29.58
55,0.9,563.5,318.5,122.5,7.0,5.0,0.1,1.0,28.09,34.33
56,0.86,588.0,294.0,147.0,7.0,2.0,0.1,1.0,26.28,30.89
57,0.86,588.0,294.0,147.0,7.0,3.0,0.1,1.0,26.91,25.6
58,0.86,588.0,294.0,147.0,7.0,4.0,0.1,1.0,26.37,27.03
59,0.86,588.0,294.0,147.0,7.0,5.0,0.1,1.0,25.27,31.73
60,0.82,612.5,318.5,147.0,7.0,2.0,0.1,1.0,23.53,27.31
61,0.82,612.5,318.5,147.0,7.0,3.0,0.1,1.0,24.03,24.91
62,0.82,612.5,318.5,147.0,7.0,4.0,0.1,1.0,23.54,24.61
63,0.82,612.5,318.5,147.0,7.0,5.0,0.1,1.0,22.58,28.51
64,0.79,637.0,343.0,147.0,7.0,2.0,0.1,1.0,35.56,41.68
65,0.79,637.0,343.0,147.0,7.0,3.0,0.1,1.0,37.12,35.28
66,0.79,637.0,343.0,147.0,7.0,4.0,0.1,1.0,36.9,34.43
67,0.79,637.0,343.0,147.0,7.0,5.0,0.1,1.0,35.94,43.33
68,0.76,661.5,416.5,122.5,7.0,2.0,0.1,1.0,32.96,33.87
69,0.76,661.5,416.5,122.5,7.0,3.0,0.1,1.0,32.12,34.07
70,0.76,661.5,416.5,122.5,7.0,4.0,0.1,1.0,32.94,34.14
71,0.76,661.5,416.5,122.5,7.0,5.0,0.1,1.0,32.21,33.67
72,0.74,686.0,245.0,220.5,3.5,2.0,0.1,1.0,10.36,13.43
73,0.74,686.0,245.0,220.5,3.5,3.0,0.1,1.0,10.43,13.71
74,0.74,686.0,245.0,220.5,3.5,4.0,0.1,1.0,10.36,13.48
75,0.74,686.0,245.0,220.5,3.5,5.0,0.1,1.0,10.39,13.7
76,0.71,710.5,269.5,220.5,3.5,2.0,0.1,1.0,10.71,13.8
77,0.71,710.5,269.5,220.5,3.5,3.0,0.1,1.0,10.8,14.28
