,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
0,LALA,Myke Towers,1.0,2023.0,3.0,23.0,1474.0,48.0,133716286.0,48.0,126.0,58.0,14.0,382.0,92.0,C#,Major,71.0,61.0,74.0,7.0,0.0,10.0,4.0
1,vampire,Olivia Rodrigo,1.0,2023.0,6.0,30.0,1397.0,113.0,140003974.0,94.0,207.0,91.0,14.0,949.0,138.0,F,Major,51.0,32.0,53.0,17.0,0.0,31.0,6.0
2,Cruel Summer,Taylor Swift,1.0,2019.0,8.0,23.0,7858.0,100.0,800840817.0,116.0,207.0,125.0,12.0,548.0,170.0,A,Major,55.0,58.0,72.0,11.0,0.0,11.0,15.0
3,WHERE SHE GOES,Bad Bunny,1.0,2023.0,5.0,18.0,3133.0,50.0,303236322.0,84.0,133.0,87.0,15.0,425.0,144.0,A,Minor,65.0,23.0,80.0,14.0,63.0,11.0,6.0
4,Columbia,Quevedo,1.0,2023.0,7.0,7.0,714.0,43.0,58149378.0,25.0,89.0,30.0,13.0,194.0,100.0,F,Major,67.0,26.0,71.0,37.0,0.0,11.0,4.0
5,fukumean,Gunna,1.0,2023.0,5.0,15.0,1096.0,83.0,95217315.0,60.0,210.0,48.0,11.0,953.0,130.0,C#,Minor,85.0,22.0,62.0,12.0,0.0,28.0,9.0
6,Super Shy,NewJeans,1.0,2023.0,7.0,7.0,422.0,55.0,58255150.0,37.0,202.0,21.0,5.0,168.0,150.0,F,Minor,78.0,52.0,82.0,18.0,0.0,15.0,7.0
7,Kill Bill,SZA,1.0,2022.0,12.0,8.0,8109.0,77.0,1163093654.0,183.0,162.0,161.0,12.0,187.0,89.0,G#,Major,64.0,43.0,73.0,5.0,17.0,16.0,4.0
8,Cupid - Twin Ver.,Fifty Fifty,1.0,2023.0,2.0,24.0,2942.0,77.0,496795686.0,91.0,212.0,78.0,6.0,0.0,120.0,B,Minor,78.0,76.0,59.0,43.0,0.0,34.0,3.0
9,Like Crazy,Jimin,1.0,2023.0,3.0,24.0,596.0,68.0,363369738.0,8.0,104.0,23.0,2.0,29.0,120.0,G,Major,63.0,36.0,73.0,0.0,0.0,36.0,4.0
10,I Can See You (TaylorÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½s Version) (From The ,Taylor Swift,1.0,2023.0,7.0,7.0,516.0,38.0,52135248.0,73.0,119.0,42.0,1.0,150.0,123.0,F#,Major,69.0,82.0,76.0,6.0,0.0,6.0,3.0
11,SABOR FRESA,Fuerza Regida,1.0,2023.0,6.0,22.0,250.0,26.0,78300654.0,16.0,149.0,10.0,5.0,168.0,130.0,G,Minor,79.0,96.0,86.0,9.0,0.0,9.0,9.0
12,Last Night,Morgan Wallen,1.0,2023.0,1.0,31.0,2420.0,19.0,429829812.0,52.0,107.0,15.0,1.0,325.0,204.0,F#,Major,52.0,52.0,68.0,46.0,0.0,15.0,4.0
13,Dance The Night (From Barbie The Album),Dua Lipa,1.0,2023.0,5.0,25.0,2988.0,101.0,127408954.0,0.0,0.0,143.0,38.0,0.0,110.0,B,Minor,67.0,78.0,85.0,2.0,0.0,33.0,5.0
14,Rush,Troye Sivan,1.0,2023.0,7.0,13.0,864.0,78.0,22581161.0,71.0,135.0,50.0,1.0,294.0,126.0,F,Minor,74.0,35.0,84.0,0.0,0.0,11.0,6.0
15,Anti-Hero,Taylor Swift,1.0,2022.0,10.0,21.0,9082.0,56.0,999748277.0,242.0,142.0,165.0,9.0,310.0,97.0,E,Major,64.0,51.0,63.0,12.0,0.0,19.0,5.0
16,Blank Space,Taylor Swift,1.0,2014.0,1.0,1.0,11434.0,53.0,1355959075.0,154.0,123.0,410.0,2.0,81.0,96.0,F,Major,75.0,57.0,68.0,9.0,0.0,13.0,6.0
17,Style,Taylor Swift,1.0,2014.0,1.0,1.0,7830.0,42.0,786181836.0,94.0,111.0,151.0,4.0,82.0,95.0,D,Major,60.0,48.0,79.0,0.0,0.0,12.0,4.0
18,TQM,Fuerza Regida,1.0,2023.0,5.0,19.0,584.0,28.0,176553476.0,16.0,159.0,15.0,6.0,100.0,125.0,F,Minor,79.0,96.0,85.0,27.0,0.0,11.0,6.0
19,Angels Like You,Miley Cyrus,1.0,2020.0,11.0,27.0,3372.0,19.0,570515054.0,65.0,48.0,138.0,1.0,102.0,122.0,F,Major,67.0,49.0,64.0,10.0,0.0,10.0,3.0
20,Die For You,The Weeknd,1.0,2016.0,11.0,24.0,2483.0,59.0,1647990401.0,68.0,21.0,24.0,0.0,259.0,134.0,C#,Minor,59.0,51.0,52.0,9.0,0.0,15.0,7.0
21,AMARGURA,Karol G,1.0,2023.0,2.0,24.0,1133.0,39.0,153372011.0,14.0,71.0,23.0,10.0,176.0,107.0,F#,Minor,92.0,55.0,70.0,18.0,0.0,15.0,7.0
22,(It Goes Like) Nanana - Edit,Peggy Gou,1.0,2023.0,6.0,15.0,2259.0,59.0,57876440.0,0.0,0.0,109.0,17.0,0.0,130.0,G,Minor,67.0,96.0,88.0,12.0,19.0,8.0,4.0
23,Moonlight,Kali Uchis,1.0,2023.0,2.0,24.0,2649.0,42.0,256483385.0,67.0,79.0,57.0,1.0,615.0,137.0,G,Minor,64.0,88.0,72.0,51.0,0.0,17.0,5.0
24,La Bachata,Manuel Turizo,1.0,2022.0,5.0,26.0,6804.0,45.0,1214083358.0,139.0,111.0,161.0,15.0,210.0,125.0,G,Minor,84.0,85.0,68.0,58.0,0.0,22.0,4.0
25,Karma,Taylor Swift,1.0,2022.0,10.0,21.0,3818.0,23.0,404562836.0,37.0,55.0,32.0,0.0,272.0,90.0,G#,Major,64.0,10.0,62.0,7.0,0.0,48.0,7.0
