movie_id,title,genres
0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,Jumanji (1995),Adventure|Children|Fantasy
2,Grumpier Old Men (1995),Comedy|Romance
3,Father of the Bride Part II (1995),Comedy
4,Heat (1995),Action|Crime|Thriller
5,Sabrina (1995),Comedy|Romance
6,Tom and Huck (1995),Adventure|Children
7,Sudden Death (1995),Action
8,GoldenEye (1995),Action|Adventure|Thriller
9,"American President, The (1995)",Comedy|Drama|Romance
10,Dracula: Dead and Loving It (1995),Comedy|Horror
11,Balto (1995),Adventure|Animation|Children
12,Nixon (1995),Drama
13,Cutthroat Island (1995),Action|Adventure|Romance
14,Casino (1995),Crime|Drama
15,Sense and Sensibility (1995),Drama|Romance
16,Four Rooms (1995),Comedy
17,Ace Ventura: When Nature Calls (1995),Comedy
18,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
19,Get Shorty (1995),Comedy|Crime|Thriller
20,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
21,Assassins (1995),Action|Crime|Thriller
22,Powder (1995),Drama|Sci-Fi
23,Leaving Las Vegas (1995),Drama|Romance
24,Othello (1995),Drama
25,Now and Then (1995),Children|Drama
26,Persuasion (1995),Drama|Romance
27,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
28,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
29,Dangerous Minds (1995),Drama
30,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
31,Babe (1995),Children|Drama
32,Dead Man Walking (1995),Crime|Drama
33,Clueless (1995),Comedy|Romance
34,"Cry, the Beloved Country (1995)",Drama
35,Richard III (1995),Drama|War
36,Dead Presidents (1995),Action|Crime|Drama
37,Restoration (1995),Drama
38,Mortal Kombat (1995),Action|Adventure|Fantasy
39,To Die For (1995),Comedy|Drama|Thriller
40,How to Make an American Quilt (1995),Drama|Romance
41,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
42,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
43,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
44,Mighty Aphrodite (1995),Comedy|Drama|Romance
45,Lamerica (1994),Adventure|Drama
46,"Big Green, The (1995)",Children|Comedy
47,Georgia (1995),Drama
48,Home for the Holidays (1995),Drama
49,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
50,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
51,Eye for an Eye (1996),Drama|Thriller
52,Mr. Holland's Opus (1995),Drama
53,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
54,Bio-Dome (1996),Comedy
55,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
56,French Twist (Gazon maudit) (1995),Comedy|Romance
57,Friday (1995),Comedy
58,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
59,Kicking and Screaming (1995),Comedy|Drama
60,"Misérables, Les (1995)",Drama|War
61,Bed of Roses (1996),Drama|Romance
62,Screamers (1995),Action|Sci-Fi|Thriller
63,Nico Icon (1995),Documentary
64,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
65,"Juror, The (1996)",Drama|Thriller
66,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
67,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
68,Antonia's Line (Antonia) (1995),Comedy|Drama
69,Angels and Insects (1995),Drama|Romance
70,White Squall (1996),Action|Adventure|Drama
71,Black Sheep (1996),Comedy
72,Nick of Time (1995),Action|Thriller
73,Mary Reilly (1996),Drama|Horror|Thriller
74,Vampire in Brooklyn (1995),Comedy|Horror|Romance
75,Beautiful Girls (1996),Comedy|Drama|Romance
76,Broken Arrow (1996),Action|Adventure|Thriller
77,"Hate (Haine, La) (1995)",Crime|Drama
78,Heidi Fleiss: Hollywood Madam (1995),Documentary
79,City Hall (1996),Drama|Thriller
80,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
81,Mr. Wrong (1996),Comedy
82,Happy Gilmore (1996),Comedy
83,"Bridges of Madison County, The (1995)",Drama|Romance
84,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
85,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
86,Catwalk (1996),Documentary
87,Braveheart (1995),Action|Drama|War
88,Taxi Driver (1976),Crime|Drama|Thriller
89,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
90,Before and After (1996),Drama|Mystery
91,Anne Frank Remembered (1995),Documentary
92,"Boys of St. Vincent, The (1992)",Drama
93,Boomerang (1992),Comedy|Romance
94,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
95,Flirting With Disaster (1996),Comedy
96,Jade (1995),Thriller
97,Down Periscope (1996),Comedy
98,Up Close and Personal (1996),Drama|Romance
99,"Birdcage, The (1996)",Comedy
100,"Brothers McMullen, The (1995)",Comedy
101,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
102,"Amazing Panda Adventure, The (1995)",Adventure|Children
103,"Basketball Diaries, The (1995)",Drama
104,"Awfully Big Adventure, An (1995)",Drama
105,Apollo 13 (1995),Adventure|Drama|IMAX
106,Rob Roy (1995),Action|Drama|Romance|War
107,Batman Forever (1995),Action|Adventure|Comedy|Crime
108,Beauty of the Day (Belle de jour) (1967),Drama
109,Beyond Rangoon (1995),Adventure|Drama|War
110,Blue in the Face (1995),Comedy|Drama
111,Canadian Bacon (1995),Comedy|War
112,Casper (1995),Adventure|Children
113,Clockers (1995),Crime|Drama|Mystery
114,Congo (1995),Action|Adventure|Mystery|Sci-Fi
115,Crimson Tide (1995),Drama|Thriller|War
116,Crumb (1994),Documentary
117,Desperado (1995),Action|Romance|Western
118,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
119,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
120,"Doom Generation, The (1995)",Comedy|Crime|Drama
121,First Knight (1995),Action|Drama|Romance
122,Hackers (1995),Action|Adventure|Crime|Thriller
123,Jeffrey (1995),Comedy|Drama
124,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
125,Judge Dredd (1995),Action|Crime|Sci-Fi
126,Jury Duty (1995),Comedy
127,Kids (1995),Drama
128,Living in Oblivion (1995),Comedy
129,Lord of Illusions (1995),Horror
130,Mallrats (1995),Comedy|Romance
131,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
132,Mute Witness (1994),Comedy|Horror|Thriller
133,Nadja (1994),Drama
134,"Net, The (1995)",Action|Crime|Thriller
135,Nine Months (1995),Comedy|Romance
136,Party Girl (1995),Comedy
137,"Prophecy, The (1995)",Fantasy|Horror|Mystery
138,Safe (1995),Thriller
139,"Scarlet Letter, The (1995)",Drama|Romance
140,Showgirls (1995),Drama
141,Smoke (1995),Comedy|Drama
142,Something to Talk About (1995),Comedy|Drama|Romance
143,Species (1995),Horror|Sci-Fi
144,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
145,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance
146,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
