user_id,dandwith_used,antenna_id,date_and_time,duration
343094,194,2820078,2015-01-01 00:00:00,0:52:01
193582,236,6925246,2015-01-01 00:56:03,0:05:45
66824,114,2810048,2015-01-01 02:29:10,0:50:05
269113,277,5839993,2015-01-01 02:39:46,0:37:00
112922,427,6193941,2015-01-01 02:53:56,0:00:13
341911,306,1867589,2015-01-01 02:55:09,0:40:28
398698,326,2537429,2015-01-01 03:16:36,0:52:44
103669,108,3411826,2015-01-01 03:31:33,0:25:16
383591,33,3007750,2015-01-01 04:02:21,0:44:26
487427,240,5110212,2015-01-01 04:57:26,0:28:22
458845,464,5173132,2015-01-01 06:14:34,0:37:07
404245,413,6320563,2015-01-01 06:44:27,0:19:29
64849,146,2269911,2015-01-01 07:36:09,0:31:50
353509,12,6441934,2015-01-01 08:09:29,0:52:47
345865,363,6655594,2015-01-01 08:48:06,0:33:39
425700,478,6836276,2015-01-01 09:37:59,0:07:51
110232,409,2779878,2015-01-01 10:07:31,0:32:40
212666,427,1230283,2015-01-01 11:00:30,0:23:37
124282,12,5687288,2015-01-01 12:24:36,0:31:48
170914,499,4344636,2015-01-01 12:34:37,0:12:26
319412,318,2849888,2015-01-01 12:43:48,0:31:01
129873,230,2508353,2015-01-01 12:51:59,0:30:47
213313,314,2260917,2015-01-01 14:21:15,0:17:33
462820,133,5125861,2015-01-01 14:26:46,0:38:36
491324,471,1203898,2015-01-01 15:04:34,0:28:15
323386,58,5546757,2015-01-01 15:33:40,0:08:47
358653,136,890846,2015-01-01 16:16:56,0:02:49
319584,142,1631948,2015-01-01 16:49:48,0:42:44
400484,10,2891331,2015-01-01 17:16:48,0:15:34
246540,391,4047067,2015-01-01 18:39:05,0:05:39
495946,98,3244812,2015-01-01 19:49:36,0:40:55
445154,301,1588345,2015-01-01 21:11:28,0:50:33
476058,29,6517136,2015-01-01 22:24:09,0:54:02
296873,241,2675373,2015-01-01 23:53:48,0:13:01
425700,238,2802955,2015-01-02 00:02:33,0:36:02
370095,135,2824699,2015-01-02 01:40:58,0:20:34
93918,22,1080533,2015-01-02 02:55:34,0:13:07
134369,19,4786777,2015-01-02 03:55:11,0:26:38
157256,161,738025,2015-01-02 04:27:50,0:31:14
88784,185,1031710,2015-01-02 05:18:59,0:13:50
102096,39,3264156,2015-01-02 05:44:23,0:37:13
214921,404,2139346,2015-01-02 06:15:02,0:54:42
138786,82,2729608,2015-01-02 07:37:18,0:57:42
219173,244,1992546,2015-01-02 07:52:41,0:33:50
265063,305,3616915,2015-01-02 07:58:35,0:20:55
113561,230,4344350,2015-01-02 08:08:07,0:34:24
269234,186,2413913,2015-01-02 08:42:14,0:38:10
495126,71,2948779,2015-01-02 10:04:26,0:52:22
52362,455,3703834,2015-01-02 10:51:31,0:37:04
286947,281,2146575,2015-01-02 12:20:07,0:21:10
439665,470,4035507,2015-01-02 13:36:35,0:58:19
134240,450,2886166,2015-01-02 14:21:57,0:46:28
398698,27,3944991,2015-01-02 15:14:28,0:20:50
315728,176,1342722,2015-01-02 15:27:13,0:42:24
309666,137,6280050,2015-01-02 17:01:13,0:45:18
83946,453,2150990,2015-01-02 18:24:24,0:12:28
429412,2,4065788,2015-01-02 19:05:27,0:11:49
443995,91,1361877,2015-01-02 20:34:33,0:34:13
103502,355,1031354,2015-01-02 21:21:14,0:26:32
253720,429,4416384,2015-01-02 21:27:06,0:07:08
407294,142,5063190,2015-01-02 22:13:06,0:30:57
147912,270,836132,2015-01-02 23:07:24,0:37:23
129873,168,1044910,2015-01-02 23:11:24,0:51:16
179940,376,1239413,2015-01-02 23:52:14,0:13:10
94772,174,3022514,2015-01-03 01:08:07,0:50:10
250269,443,5269855,2015-01-03 01:30:19,0:13:21
413854,182,4064529,2015-01-03 02:36:25,0:33:05
475339,270,1943729,2015-01-03 02:55:47,0:44:43
56611,151,3151642,2015-01-03 03:50:48,0:47:10
470140,58,3160026,2015-01-03 05:03:16,0:05:23
236532,253,4602193,2015-01-03 05:58:11,0:04:32
335386,268,4125627,2015-01-03 06:15:12,0:00:19
425796,404,4661024,2015-01-03 07:13:51,0:32:32
318767,304,6349690,2015-01-03 08:12:44,0:22:22
246545,306,4172795,2015-01-03 09:32:51,0:38:33
372651,485,3513906,2015-01-03 09:42:58,0:54:22
361536,61,2095273,2015-01-03 10:35:30,0:13:14
243081,387,4028772,2015-01-03 10:37:30,0:07:02
237011,190,5638744,2015-01-03 11:50:29,0:42:23
471069,55,773918,2015-01-03 12:44:05,0:50:06
261785,329,4591915,2015-01-03 13:15:58,0:48:03
390051,390,5638466,2015-01-03 14:23:19,0:58:12
268250,168,3209660,2015-01-03 14:39:59,0:20:44
104829,53,5181700,2015-01-03 15:18:03,0:28:43
353201,151,1075158,2015-01-03 16:16:25,0:59:51
350038,65,4889581,2015-01-03 16:35:07,0:45:38
347587,52,812325,2015-01-03 17:43:30,0:36:18
278499,227,2944707,2015-01-03 18:45:20,0:50:48
139131,472,2126347,2015-01-03 19:14:23,0:48:26
337162,95,6020255,2015-01-03 20:39:39,0:55:28
242680,303,2495286,2015-01-03 21:01:36,0:26:43
462820,100,4728406,2015-01-03 21:32:04,0:02:09
157190,489,2212637,2015-01-03 22:32:18,0:19:04
439665,190,6928185,2015-01-03 23:46:49,0:37:04
128202,243,1109033,2015-01-04 00:12:48,0:10:32
222589,388,3700145,2015-01-04 00:16:30,0:28:15
182779,213,3685266,2015-01-04 01:24:13,0:35:17
56611,108,3877941,2015-01-04 02:39:44,0:31:46
492042,347,4493706,2015-01-04 03:22:36,0:49:27
488782,113,4674191,2015-01-04 03:44:56,0:09:21
488782,220,2889363,2015-01-04 04:17:04,0:19:17
202965,360,5428755,2015-01-04 05:39:46,0:30:22
237011,400,6718728,2015-01-04 06:35:04,0:47:28
134878,166,6038616,2015-01-04 07:06:13,0:39:26
498935,419,1282857,2015-01-04 07:51:35,0:10:58
251962,113,3165691,2015-01-04 08:06:09,0:57:51
498090,271,2495286,2015-01-04 08:19:05,0:58:04
331826,277,955774,2015-01-04 08:59:53,0:57:18
74311,152,1077201,2015-01-04 10:13:20,0:17:26
296666,105,6513656,2015-01-04 11:29:29,0:38:39
269113,32,4754856,2015-01-04 11:45:21,0:37:10
482341,119,2441196,2015-01-04 11:51:13,0:47:32
304250,277,5468554,2015-01-04 12:10:19,0:51:09
355782,464,5892564,2015-01-04 13:11:52,0:15:56
71189,7,2439921,2015-01-04 14:13:37,0:52:14
124924,197,1983730,2015-01-04 14:53:03,0:15:16
186729,107,6390137,2015-01-04 15:50:10,0:49:30
256434,95,3151642,2015-01-04 16:49:25,0:02:58
461572,463,2107851,2015-01-04 16:54:13,0:05:06
430615,362,5218384,2015-01-04 18:21:27,0:31:16
98420,252,6764248,2015-01-04 19:25:05,0:59:32
150135,184,4832767,2015-01-04 20:39:59,0:11:15
124282,119,2731022,2015-01-04 21:12:09,0:30:27
69163,98,2364690,2015-01-04 22:00:43,0:01:40
271281,366,1113268,2015-01-04 22:47:17,0:38:56
490048,35,731078,2015-01-04 23:33:21,0:45:24
354770,243,4304852,2015-01-05 00:07:19,0:24:08
167617,209,4581343,2015-01-05 01:06:34,0:30:13
188595,496,6064195,2015-01-05 01:45:35,0:45:05
439665,327,1983730,2015-01-05 03:20:16,0:05:50
146163,310,6803783,2015-01-05 04:59:51,0:39:39
214921,406,2653869,2015-01-05 05:24:31,0:31:00
