,flightName,departure,destination,date,userID
0,NM22243,GT,SE,29-08-2010,400484
1,OC510364,SE,MT,15-11-2010,400484
2,NK461032,MT,NL,22-11-2010,400484
3,WI12864,NL,BR,06-12-2010,400484
4,ZB19789,BR,IT,10-03-2011,400484
5,HK27259,IT,BG,26-03-2011,400484
6,ZW104131,BG,GB,18-07-2011,400484
7,FX38377,GB,ES,25-01-2012,400484
8,MD1015510,ES,DZ,23-06-2012,400484
9,NK12724,DZ,IS,02-03-2013,400484
10,XS934103,IS,TR,09-10-2013,400484
11,WV37121,TR,CZ,16-01-2014,400484
12,TJ32199,CZ,ES,30-01-2014,400484
13,QO96294,ES,FI,07-08-2014,400484
14,DH105539,FI,US,18-07-2015,400484
15,GT731410,US,AR,30-09-2015,400484
16,NH81484,AR,SG,01-12-2015,400484
17,BP104558,SG,EE,10-04-2016,400484
18,QE34777,EE,PR,24-02-2017,400484
19,JE35589,PR,DK,06-03-2017,400484
20,LB7510510,DK,HU,31-05-2017,400484
21,CP43224,HU,ES,03-12-2017,400484
22,DO47298,ES,PT,27-10-2018,400484
23,PZ391015,PT,JP,11-05-2019,400484
24,IJ69599,JP,GT,23-10-2019,400484
25,PH48977,GT,MD,17-01-2020,400484
26,XX95491,MD,BG,23-01-2020,400484
27,GF710292,BG,PT,06-11-2020,400484
28,TN38562,PT,AR,30-04-2021,400484
29,AL57422,AR,NL,27-08-2021,400484
30,QZ52741,NL,BG,10-08-2022,400484
31,FQ37912,BG,BR,04-10-2022,400484
32,OH14711,BR,GB,14-08-2023,400484
33,HU99669,CZ,LT,01-04-2010,282042
34,EJ13971,LT,BD,06-01-2011,282042
35,PZ108822,BD,SG,30-08-2011,282042
36,HL84995,SG,CA,25-06-2012,282042
37,GE36193,CA,NL,10-04-2013,282042
38,PD36841,NL,PL,13-06-2013,282042
39,NQ1011510,PL,MT,23-11-2013,282042
40,BR491024,MT,AZ,06-11-2014,282042
41,PQ98714,AZ,CO,02-06-2015,282042
42,BE310239,CO,DE,29-03-2016,282042
43,HB65955,DE,MX,06-05-2016,282042
44,TE88595,MX,DK,15-11-2016,282042
45,QN175107,DK,AR,17-10-2017,282042
46,KT82214,AR,MD,22-08-2018,282042
47,NM74941,MD,BG,17-06-2019,282042
48,US49863,BG,AR,03-03-2020,282042
49,ZK104582,AR,IT,18-07-2020,282042
50,ZL2410110,IT,TR,07-04-2021,282042
51,TX93117,TR,PL,08-12-2021,282042
52,IN109982,PL,LT,10-03-2022,282042
53,SI88949,LT,IS,14-04-2022,282042
54,TB82327,IS,RU,27-02-2023,282042
55,AT43137,AR,CA,16-12-2010,430537
56,HL375101,CA,IE,16-09-2011,430537
57,QE99312,IE,BR,29-09-2011,430537
58,LK67789,BR,ZA,15-12-2011,430537
59,WO32358,ZA,IT,30-03-2012,430537
60,GI75333,IT,MT,10-02-2013,430537
61,QE86966,MT,MD,12-05-2013,430537
62,ZD98234,MD,HR,24-03-2014,430537
63,PD35361,HR,TR,30-08-2014,430537
64,VV799710,TR,FR,02-02-2015,430537
65,EV210351,FR,NO,04-08-2015,430537
66,XJ1078104,NO,AR,20-12-2015,430537
67,ER47696,AR,FI,13-07-2016,430537
68,GE16512,FI,ES,07-09-2016,430537
69,QB45175,ES,BG,27-01-2017,430537
70,QR56192,BG,MY,17-08-2017,430537
71,NZ83398,MY,MD,18-11-2017,430537
72,ZF34211,MD,PH,15-07-2018,430537
73,PC610932,PH,AR,14-09-2018,430537
74,WZ44662,AR,AZ,19-02-2019,430537
75,OH95362,AZ,BE,28-11-2019,430537
76,TE25691,BE,DE,18-08-2020,430537
77,IB91357,DE,LU,12-11-2020,430537
78,WO742410,LU,CO,27-07-2021,430537
79,CR79748,CO,MT,05-11-2021,430537
80,IY107148,MT,HR,04-04-2022,430537
81,MO24101010,HR,PH,02-07-2022,430537
82,RJ77334,PH,LT,23-10-2022,430537
83,PY53422,HR,AT,30-07-2010,113561
84,TB710971,AT,SG,27-01-2011,113561
85,FY974910,SG,IT,29-07-2011,113561
86,VP610327,IT,MD,24-06-2012,113561
87,EE68159,MD,CZ,26-07-2012,113561
88,QN7851010,CZ,RU,16-03-2013,113561
89,VH731510,RU,IT,19-12-2013,113561
90,CN36136,IT,ES,28-02-2014,113561
91,AY77678,ES,NL,15-07-2014,113561
92,WW110174,NL,GB,04-03-2015,113561
93,GU61624,GB,HR,15-02-2016,113561
94,OT99353,HR,HU,24-11-2016,113561
95,SV5410410,HU,ZA,27-07-2017,113561
96,KU53562,ZA,MX,27-09-2017,113561
97,GY631071,MX,IT,31-01-2018,113561
98,OW721033,IT,ES,13-03-2018,113561
99,NV655108,ES,CH,26-12-2018,113561
100,SM89758,CH,IE,05-09-2019,113561
101,MH85192,IE,CA,25-02-2020,113561
102,ST786110,CA,EE,02-11-2020,113561
103,CO837810,EE,CL,23-08-2021,113561
104,SY36998,CL,DK,16-09-2021,113561
105,JU11895,DK,NO,21-04-2022,113561
106,IO44467,NO,DK,04-10-2022,113561
107,FM61338,DK,LU,04-12-2022,113561
108,RN49278,MX,MX,22-11-2010,137679
109,DV1028102,MX,CL,23-02-2011,137679
110,JV381018,CL,US,28-10-2011,137679
111,IX8101073,US,BE,16-12-2011,137679
112,XI45541,BE,ES,26-05-2012,137679
113,LE96449,ES,MY,13-04-2013,137679
114,JZ56947,MY,GT,18-04-2013,137679
115,HO33749,GT,SE,23-12-2013,137679
116,ZB518710,SE,GT,27-03-2014,137679
117,OY341099,GT,DE,17-12-2014,137679
118,BP32815,DE,DK,28-01-2015,137679
119,GB610197,DK,BG,10-07-2015,137679
120,QJ12116,BG,AT,28-01-2016,137679
121,YC59622,AT,GT,05-07-2016,137679
122,NN46372,GT,SG,02-02-2017,137679
123,UC1089310,SG,PL,16-07-2017,137679
124,PG31229,PL,CO,24-07-2017,137679
125,EX610345,CO,EE,12-03-2018,137679
126,IL77615,EE,US,15-11-2018,137679
127,BU1010325,US,PL,13-02-2019,137679
128,UF395110,PL,MY,09-06-2019,137679
129,NO551029,MY,PH,22-12-2019,137679
130,CC66176,PH,FR,07-03-2020,137679
131,TW771710,FR,BR,19-03-2020,137679
132,SV61629,BR,CL,21-06-2020,137679
133,MS711061,CL,BG,05-06-2021,137679
134,SB884105,BG,PT,15-12-2021,137679
135,VY78985,PT,DK,06-08-2022,137679
136,GS98359,DK,FR,20-08-2022,137679
137,US101474,FR,DE,08-11-2022,137679
138,SA362710,PH,IN,05-06-2010,104532
139,PZ39328,IN,FI,23-08-2010,104532
140,YZ58869,FI,GT,08-09-2010,104532
141,DV7661010,GT,PT,06-10-2010,104532
142,IS26654,PT,DK,19-07-2011,104532
143,MO85198,DK,MT,16-10-2011,104532
144,PC248106,MT,TR,17-09-2012,104532
145,CJ56124,TR,IN,09-05-2013,104532
146,CZ56389,IN,EE,22-09-2013,104532
147,FK67786,EE,IS,06-10-2013,104532
148,TF5101084,IS,AZ,10-12-2013,104532
149,WZ86588,AZ,HU,25-04-2014,104532
150,ZX973110,HU,AR,11-02-2015,104532
151,GH410839,AR,CL,22-07-2015,104532
152,CR1064107,CL,AT,17-04-2016,104532
153,JX728210,AT,MD,29-06-2016,104532
154,WV11392,MD,IS,09-03-2017,104532
155,UB35719,IS,MY,15-08-2017,104532
156,UE445104,MY,AT,09-10-2017,104532
157,ZZ94634,AT,NL,22-10-2017,104532
158,DO45966,NL,BE,25-07-2018,104532
159,AD19235,BE,PL,13-01-2019,104532
160,TV91163,PL,CL,16-10-2019,104532
161,UW14339,CL,TR,02-08-2020,104532
162,ID14523,TR,BE,02-01-2021,104532
163,FV473108,BE,CA,19-10-2021,104532
164,LE82296,CA,SE,27-10-2021,104532
165,MF24524,SE,CZ,22-07-2022,104532
166,TA68926,CZ,BG,21-02-2023,104532
167,PV599104,MX,CL,07-05-2010,282759
168,FX1062410,CL,CO,11-08-2010,282759
169,KA16145,CO,NO,28-11-2010,282759
170,PN710691,NO,CL,15-12-2010,282759
171,VW25278,CL,SG,31-07-2011,282759
172,TI7104109,SG,DZ,15-04-2012,282759
173,KE31684,DZ,HU,25-12-2012,282759
174,RX810618,HU,MX,11-07-2013,282759
175,FD731076,MX,CH,08-11-2013,282759
176,GZ831056,CH,BG,23-05-2014,282759
177,PV381098,BG,KR,20-02-2015,282759
178,QL109289,KR,AT,13-09-2015,282759
179,QK510726,AT,NL,18-09-2016,282759
180,IR844103,NL,MY,13-03-2017,282759
181,HB65258,MY,AT,31-03-2017,282759
182,OG82879,AT,MX,10-08-2017,282759
183,RD54374,MX,AT,30-09-2017,282759
184,MW510516,AT,BD,28-12-2017,282759
185,QV3103810,BD,BR,26-04-2018,282759
186,YJ94711,BR,AR,09-12-2018,282759
187,PU34151,AR,PH,13-10-2019,282759
188,HI410328,PH,PL,24-09-2020,282759
189,ZK241085,PL,ZA,05-07-2021,282759
190,ME61859,ZA,IT,11-12-2021,282759
191,ZQ11766,IT,EE,04-05-2022,282759
192,ZG41222,EE,ES,20-07-2022,282759
193,IN33437,ES,NL,06-03-2023,282759
194,CT12625,MD,NO,28-10-2010,435136
195,QB29688,NO,DE,26-07-2011,435136
196,MU34925,DE,SE,04-08-2011,435136
197,RY521106,SE,FR,21-01-2012,435136
198,BU36495,FR,CZ,08-09-2012,435136
199,AQ71696,CZ,DK,14-01-2013,435136
200,AM68279,DK,EE,14-07-2013,435136
201,VD198102,EE,DK,26-07-2013,435136
202,HI1061097,DK,CR,06-05-2014,435136
203,MB93712,CR,ZA,06-06-2014,435136
204,PN42612,ZA,AT,03-04-2015,435136
205,KQ53643,AT,NL,22-04-2015,435136
206,YB961072,NL,ZA,03-08-2015,435136
207,DM829101,ZA,MX,26-03-2016,435136
208,YQ8101049,MX,DZ,03-01-2017,435136
209,RA55343,DZ,CL,19-10-2017,435136
210,FH75454,CL,BE,02-04-2018,435136
211,QL59462,BE,AT,24-02-2019,435136
212,FX83584,AT,SE,10-02-2020,435136
213,AF797101,SE,BD,01-04-2020,435136
214,KR710226,BD,AT,26-02-2021,435136
215,YT6710310,AT,ZA,31-01-2022,435136
216,YR5410107,ZA,SE,03-04-2022,435136
217,AY16325,SE,IT,22-06-2022,435136
218,KD39722,IT,CH,14-12-2022,435136
219,KK741035,MD,MX,26-02-2010,287641
220,NJ12378,MX,CZ,11-10-2010,287641
221,ME63782,CZ,MD,06-08-2011,287641
222,BW79949,MD,TR,22-01-2012,287641
223,MC7101037,TR,CL,18-11-2012,287641
224,BK28974,CL,AT,03-03-2013,287641
225,EQ97517,AT,SE,10-01-2014,287641
226,CV77737,SE,AT,29-09-2014,287641
227,VA47741,AT,FI,23-04-2015,287641
228,QF410215,FI,MX,09-08-2015,287641
229,CC27662,MX,FI,18-05-2016,287641
230,LF10104210,FI,DK,18-07-2016,287641
231,CG12593,DK,HR,09-09-2016,287641
232,PF751410,HR,AT,23-06-2017,287641
233,YD459410,AT,LU,22-01-2018,287641
234,YG22999,LU,GT,26-10-2018,287641
235,XR13368,GT,NO,11-02-2019,287641
236,LJ57342,NO,DK,07-03-2019,287641
237,JF37199,DK,DE,25-08-2019,287641
238,BC9610110,DE,AT,13-06-2020,287641
239,AP51514,AT,BE,16-09-2020,287641
240,QE772710,BE,AT,29-12-2020,287641
241,XD53796,AT,PR,13-06-2021,287641
242,NG81798,PR,FR,25-05-2022,287641
243,ZC92731,FR,ES,07-02-2023,287641
244,OY72884,ES,MX,22-09-2010,268495
245,HT47828,MX,IS,23-11-2010,268495
246,XS46156,IS,JP,30-08-2011,268495
247,TK82838,JP,NO,27-07-2012,268495
248,HY26141,NO,DE,02-09-2012,268495
249,NN56264,DE,NO,10-11-2012,268495
250,PX25796,NO,AT,12-07-2013,268495
251,RH632310,AT,DZ,20-06-2014,268495
252,AQ15136,DZ,CZ,20-12-2014,268495
253,PB59336,CZ,AT,08-02-2015,268495
254,CL1091054,AT,IS,25-11-2015,268495
255,HK108357,IS,NL,06-01-2016,268495
256,KD24848,NL,FR,18-09-2016,268495
257,EA42328,FR,LU,10-12-2016,268495
258,OF436107,LU,BE,24-06-2017,268495
259,KZ1046210,BE,IN,07-04-2018,268495
260,QH34286,IN,PR,18-12-2018,268495
261,IR21424,PR,AT,18-05-2019,268495
