,Title,Genre,Premiere,Runtime,IMDB Score,Language
0,Impact Former Half,Action,"April 03, 2022",128,3.2,Hindi
1,Sport Military Exist,Romance,"April 21, 2023",107,3.5,Japanese
2,Officer Treatment Public,Horror,"May 19, 2022",99,4.2,Chinese
3,Reveal Trial Billion,Mystery,"May 02, 2020",83,2.4,Hindi
4,Piece Both Partner,Romance,"June 12, 2022",131,1.3,Italian
5,Million Cause Address,Horror,"July 13, 2021",134,4.7,Chinese
6,Occur Tree School,Drama,"September 02, 2021",95,1.3,Japanese
7,Partner Job True,Romance,"December 13, 2021",69,3.5,Chinese
8,Cut Home What,Action,"July 25, 2022",117,4.7,Japanese
9,Detail Woman Run,Comedy,"May 22, 2020",130,4.9,English
10,Quite Stay Bag,Drama,"February 20, 2023",135,4.8,Hindi
11,Trade Author Ever,Documentary,"January 31, 2022",119,4.9,Japanese
12,Building Hour Part,Documentary,"March 07, 2021",135,2.1,Chinese
13,Few Entire Yeah,Drama,"July 27, 2022",62,3.9,Japanese
14,Not Herself Hair,Horror,"May 28, 2023",77,3.4,Hindi
15,Seat Public Common,Romance,"July 15, 2021",135,4.0,Italian
16,Past Son Word,Horror,"March 30, 2022",118,4.1,English
17,Any Week Memory,Documentary,"April 30, 2022",121,3.4,Chinese
18,Activity About Away,Comedy,"May 10, 2020",132,2.6,Spanish
19,Author Age Environment,Action,"August 03, 2020",79,2.9,Hindi
20,Ok Message Mention,Action,"May 05, 2021",59,1.3,Spanish
21,Check You After,Mystery,"January 24, 2023",55,1.7,Spanish
22,Culture Prevent Over,Drama,"May 28, 2021",136,4.1,Hindi
23,Prove Debate Arm,Romance,"September 25, 2022",115,1.4,Italian
24,Score Technology Behavior,Mystery,"May 07, 2021",124,4.8,Hindi
25,Film Fast Shoulder,Action,"August 06, 2020",87,4.4,Italian
26,Return Inside System,Documentary,"June 07, 2023",50,1.7,Hindi
27,She Enter Program,Thriller,"May 20, 2021",86,4.2,Italian
28,Wish Even Pm,Thriller,"June 07, 2020",73,3.6,Chinese
29,Quality Life Throughout,Horror,"December 15, 2020",97,1.8,Japanese
30,Tax Bill Receive,Mystery,"September 02, 2021",149,1.1,Chinese
31,Discover Opportunity Event,Comedy,"August 15, 2022",90,4.6,Japanese
32,Off We Wait,Action,"August 24, 2020",130,1.7,Italian
33,Summer Them Personal,Mystery,"January 01, 2022",78,4.0,Spanish
34,Society Hit Near,Mystery,"August 16, 2022",126,2.6,Japanese
35,State Third Decide,Thriller,"January 20, 2020",148,1.8,Spanish
36,Behavior Hair Husband,Thriller,"June 12, 2021",57,1.7,Hindi
37,Into Media Become,Romance,"June 02, 2020",88,2.5,Hindi
38,Him Stage This,Drama,"November 01, 2020",94,1.1,English
39,Account Short List,Comedy,"August 17, 2021",56,2.2,Italian
40,Entire Only Lay,Thriller,"June 25, 2023",140,1.8,Spanish
41,Follow Spring Brother,Romance,"October 28, 2020",131,4.6,Chinese
42,First Field Speak,Action,"April 15, 2020",128,2.0,Italian
43,Forward Concern Meeting,Documentary,"March 13, 2020",120,4.6,Japanese
44,Civil Foot Add,Documentary,"May 06, 2022",107,4.1,Chinese
45,Knowledge Order Father,Action,"May 18, 2022",114,3.8,Chinese
46,Second Bar Past,Documentary,"May 27, 2022",109,2.3,English
47,Wear Born Control,Drama,"May 27, 2021",109,2.2,Hindi
48,Discuss Into Generation,Action,"December 24, 2021",149,3.8,Spanish
49,Generation Structure Arrive,Drama,"June 10, 2021",120,4.1,Hindi
50,About Whom They,Documentary,"August 06, 2023",60,1.5,Hindi
51,Nothing Produce Media,Comedy,"April 17, 2022",79,4.3,Japanese
52,Card Strategy Fast,Horror,"July 15, 2021",119,4.2,English
53,Try Evening Character,Action,"July 31, 2020",88,1.8,Italian
54,Cup Town Among,Mystery,"January 12, 2020",125,3.9,Spanish
55,Back Officer Call,Comedy,"September 01, 2021",136,2.9,Hindi
56,American Cut Thought,Drama,"June 10, 2022",89,3.0,Spanish
57,Fact Final Just,Action,"July 24, 2020",134,2.8,English
58,Rate Beat Sure,Documentary,"October 18, 2020",85,2.1,Italian
59,Any We War,Drama,"January 31, 2023",131,2.1,Hindi
60,Hard Letter Either,Comedy,"May 04, 2022",131,2.8,English
61,First Also Mr,Comedy,"June 09, 2020",65,3.4,Chinese
62,A All Easy,Romance,"July 02, 2021",98,4.9,Spanish
63,Realize Happen Break,Thriller,"April 16, 2021",135,3.5,English
64,Head Simply Model,Romance,"June 21, 2022",86,1.0,Japanese
65,Home Discussion Story,Mystery,"June 06, 2020",53,4.3,Chinese
66,Anyone Sister Adult,Documentary,"April 05, 2021",110,1.6,Chinese
67,Adult On Key,Comedy,"October 09, 2020",88,1.2,Chinese
68,Yeah Everything Leave,Thriller,"February 16, 2020",76,1.4,Spanish
69,Bank Much Cultural,Documentary,"May 30, 2022",88,4.1,Hindi
70,Dream Threat Mrs,Action,"June 28, 2020",70,1.5,Italian
71,Produce Quality Own,Comedy,"February 18, 2022",73,1.8,Japanese
72,Leader Simply Current,Thriller,"October 23, 2021",117,3.2,Chinese
73,Under Camera Make,Action,"March 29, 2021",123,2.1,Spanish
74,Mouth Picture Action,Horror,"April 10, 2020",112,3.6,Japanese
75,Protect Bill Power,Action,"February 02, 2021",69,2.6,English
76,Thus House Everybody,Romance,"February 10, 2020",145,2.2,Italian
77,Letter Child College,Action,"June 11, 2020",144,1.9,Japanese
78,Over Series Seven,Comedy,"September 21, 2022",82,2.4,Japanese
79,Your Society Piece,Horror,"July 24, 2023",141,1.7,Italian
80,Your Maybe Listen,Mystery,"June 13, 2023",106,1.9,Chinese
81,Memory Who Each,Thriller,"June 16, 2020",127,1.9,Spanish
82,Resource Significant Great,Thriller,"July 22, 2021",147,2.2,Chinese
83,Action Side Near,Thriller,"July 21, 2023",89,3.5,Hindi
84,Glass Wait Significant,Romance,"March 28, 2023",73,4.3,Italian
85,Structure Discuss Attention,Thriller,"July 19, 2021",102,3.1,Italian
86,Would Ago Research,Mystery,"February 14, 2021",121,1.5,Japanese
87,Property Visit Laugh,Drama,"November 16, 2020",88,3.7,Spanish
88,Wonder Ago Report,Action,"November 26, 2022",144,4.6,Japanese
89,School Education Feel,Documentary,"January 17, 2023",65,1.6,Spanish
90,Or Sing Prevent,Horror,"July 23, 2022",54,3.0,Chinese
91,Explain Maybe Group,Drama,"July 24, 2021",140,3.2,Spanish
92,Name Race Finally,Mystery,"September 15, 2021",64,1.6,Japanese
93,Same Especially Strong,Horror,"March 02, 2021",140,3.4,Italian
94,Money Off Gun,Thriller,"January 01, 2020",141,4.8,Hindi
95,Current Team Young,Documentary,"June 14, 2021",61,3.5,Chinese
96,Land Most Arm,Thriller,"February 21, 2022",91,1.5,Chinese
97,Box Group Food,Comedy,"May 25, 2021",54,2.5,Italian
98,Tell East Side,Thriller,"March 20, 2022",101,3.2,Italian
99,We Total Tree,Documentary,"May 26, 2022",55,3.6,Hindi
100,Source News World,Action,"August 01, 2023",61,2.4,Hindi
101,Especially Support Fill,Thriller,"June 09, 2021",108,3.8,Japanese
102,Machine Think Center,Thriller,"April 01, 2023",118,1.4,Italian
103,End Travel Since,Horror,"May 13, 2021",96,2.6,Japanese
104,Be Too Fund,Mystery,"July 28, 2021",142,2.9,Japanese
105,Dark Program Participant,Drama,"June 21, 2020",135,2.2,Chinese
106,Figure Government Move,Comedy,"June 27, 2023",142,2.8,English
107,Environment Radio Usually,Action,"November 06, 2022",74,4.3,Chinese
108,Arm Product Still,Documentary,"January 12, 2021",56,4.5,Japanese
109,As Respond Wish,Thriller,"August 19, 2022",87,1.3,Italian
110,Class Culture Join,Documentary,"July 10, 2021",148,4.0,Hindi
111,Number Down Fish,Romance,"November 13, 2022",130,4.1,Japanese
112,Soon Rest Western,Drama,"April 02, 2021",85,2.2,Spanish
113,With Thank Fish,Romance,"February 10, 2021",88,3.0,Hindi
114,Concern According Half,Documentary,"June 21, 2023",130,3.4,Spanish
115,Actually Thing Hundred,Documentary,"January 02, 2023",94,2.2,Chinese
116,Scene Space Allow,Action,"August 06, 2021",145,2.8,English
117,Until Report This,Comedy,"October 05, 2020",123,3.6,Hindi
118,Common Paper Know,Documentary,"January 01, 2023",124,4.9,Hindi
119,Alone Modern Which,Documentary,"March 27, 2020",131,2.5,Hindi
120,Member Treat Its,Romance,"August 14, 2020",74,3.0,Hindi
121,City Public Type,Comedy,"May 29, 2021",85,1.1,Hindi
122,None Wonder Policy,Action,"January 17, 2022",147,4.4,Spanish
123,Agent Interesting Growth,Drama,"June 21, 2023",109,1.8,Italian
124,Like Family All,Thriller,"November 23, 2022",95,1.1,Hindi
125,Green Party Our,Comedy,"July 24, 2020",104,4.3,English
126,Low Lead Until,Mystery,"June 27, 2022",88,2.8,Spanish
127,Next Interview Charge,Documentary,"January 02, 2022",140,4.4,Hindi
128,Think Worry Car,Romance,"January 29, 2023",137,2.0,Spanish
129,Family Purpose Vote,Thriller,"September 16, 2021",51,1.5,English
130,Past Present Attorney,Comedy,"December 24, 2020",100,2.4,Spanish
131,History Experience Program,Thriller,"February 11, 2022",76,2.8,Chinese
132,Worry Place Stay,Comedy,"June 25, 2020",75,3.1,Italian
133,Group Research Natural,Documentary,"May 28, 2023",120,2.2,Chinese
134,Usually Blood Table,Drama,"September 14, 2023",69,5.0,Italian
135,Special Listen Message,Mystery,"May 28, 2021",74,3.9,Hindi
136,Into Exist Assume,Horror,"July 18, 2022",130,4.3,Hindi
137,Compare Tonight Federal,Horror,"June 30, 2022",119,3.5,Hindi
138,Season Government When,Action,"July 10, 2020",120,1.1,Spanish
139,Style Reason Morning,Comedy,"May 13, 2023",81,1.1,Italian
140,Speak Direction Rock,Drama,"June 27, 2020",56,4.6,Italian
141,Teach Star I,Romance,"October 14, 2021",145,2.5,Spanish
142,Phone Piece Drop,Romance,"July 15, 2022",63,3.6,Spanish
143,Some Agency Share,Documentary,"January 31, 2020",124,2.1,Chinese
144,Piece Local Point,Mystery,"January 13, 2021",142,1.2,Spanish
145,Unit Grow Consider,Action,"June 24, 2023",93,4.9,Hindi
146,Management Help Politics,Mystery,"March 24, 2021",56,3.7,Hindi
147,Road Employee Course,Horror,"May 21, 2022",128,4.6,English
148,Major College Rest,Comedy,"August 23, 2022",111,2.1,Spanish
149,Someone Whether Firm,Comedy,"February 10, 2023",148,2.8,Italian
150,Until Consider Woman,Drama,"August 03, 2023",74,2.3,Chinese
151,Happy Prevent Half,Horror,"September 01, 2023",63,2.2,English
152,Statement Leave Center,Thriller,"June 10, 2021",103,4.3,Hindi
153,Hour Tell Away,Action,"August 20, 2022",97,3.0,Chinese
154,Energy Nothing Those,Comedy,"July 27, 2020",86,2.0,English
155,Real Approach Source,Romance,"July 12, 2020",104,2.9,Japanese
156,Successful Add Both,Horror,"April 17, 2020",71,3.7,Italian
157,Manager Seven Tough,Horror,"March 04, 2022",107,4.8,Italian
158,Race Environment Need,Comedy,"April 12, 2022",70,3.0,Hindi
159,Ball College Direction,Thriller,"August 22, 2021",55,3.3,Italian
160,Whatever Whose Bank,Romance,"May 22, 2020",123,3.6,Chinese
161,Hard Big Heart,Comedy,"March 08, 2021",72,4.0,English
162,Current Have Notice,Drama,"April 14, 2021",81,3.2,Spanish
163,Arm Pressure Personal,Romance,"February 20, 2022",125,2.9,Hindi
164,Building Statement Field,Mystery,"December 27, 2022",94,2.3,Italian
165,Land Resource Draw,Mystery,"August 21, 2023",60,2.4,Japanese
166,Quality Leg Case,Action,"August 18, 2023",115,4.2,Chinese
167,Not Choice Room,Documentary,"October 01, 2022",128,2.9,Chinese
168,Same Forward White,Documentary,"June 17, 2021",65,2.5,Chinese
169,Sit Probably Picture,Drama,"January 18, 2023",142,1.8,Japanese
170,Attorney Simple Affect,Horror,"April 22, 2022",63,3.3,Hindi
171,Behind Prepare Democrat,Thriller,"August 21, 2020",95,3.5,English
172,Despite Some Program,Romance,"January 21, 2023",96,1.2,English
173,Close Enjoy Admit,Comedy,"May 24, 2020",56,4.9,Hindi
174,Response On And,Action,"September 20, 2023",112,4.1,Spanish
175,Smile Society Watch,Mystery,"December 14, 2021",65,1.5,Italian
176,Wind Trip Green,Horror,"December 30, 2020",94,2.3,Italian
177,Woman South Reflect,Thriller,"March 30, 2020",136,2.2,English
178,Court Space Either,Romance,"February 09, 2021",128,3.5,English
179,While Assume I,Action,"January 20, 2020",98,2.7,Hindi
180,Thing Foot Single,Thriller,"December 02, 2020",70,1.8,Italian
181,Whether Six Travel,Romance,"February 01, 2023",146,1.0,Spanish
182,Girl Study Guy,Mystery,"June 20, 2022",119,1.1,Italian
183,More Performance Data,Action,"June 23, 2023",104,3.4,Spanish
184,Responsibility Table Citizen,Documentary,"January 24, 2022",121,4.6,English
185,Community Any Which,Action,"December 21, 2021",137,3.1,Hindi
186,You Art Recognize,Mystery,"April 28, 2023",122,1.8,Spanish
187,Everyone Write Information,Documentary,"August 14, 2020",57,1.6,Italian
188,Lot Word Every,Comedy,"May 11, 2022",145,4.1,Spanish
189,Need Though Class,Drama,"June 06, 2021",142,3.4,Italian
190,Should Place Garden,Documentary,"April 23, 2022",58,3.3,Chinese
191,Describe Response Teach,Action,"April 18, 2021",69,2.2,Hindi
192,Think Save Go,Mystery,"October 22, 2020",129,3.4,Italian
193,Leg Worker However,Comedy,"April 25, 2021",117,4.2,Spanish
194,Trouble Magazine Arm,Comedy,"August 21, 2020",90,2.1,Hindi
195,Soldier Ten Speak,Thriller,"April 20, 2023",97,2.9,Chinese
196,Modern Issue Sister,Documentary,"December 17, 2022",117,4.5,English
197,Mrs Whole Western,Horror,"July 11, 2020",102,4.4,Spanish
198,Red School Work,Romance,"January 08, 2023",68,2.1,Chinese
199,Place Approach Forward,Mystery,"February 09, 2023",101,1.5,Spanish
200,Across Focus Despite,Mystery,"March 06, 2023",117,3.5,Hindi
201,Support Admit About,Horror,"October 07, 2020",88,4.5,Chinese
202,Suffer Mr Real,Mystery,"February 11, 2020",99,3.2,Spanish
203,Argue Need Agree,Action,"November 25, 2021",69,2.1,Japanese
204,Stand News Total,Documentary,"February 08, 2023",104,4.4,Spanish
205,Course Experience Nature,Thriller,"May 25, 2021",104,2.8,Spanish
206,Wrong Generation Them,Mystery,"November 09, 2021",53,4.7,Hindi
207,Story Bank Green,Romance,"July 24, 2021",82,1.0,English
208,Take Always Once,Thriller,"April 18, 2022",135,4.3,Spanish
209,Month Audience Four,Romance,"October 18, 2021",80,4.0,Italian
210,Hit Subject Front,Action,"October 25, 2021",100,3.9,English
211,Specific Article Last,Thriller,"November 23, 2022",56,4.2,English
212,We Century Work,Mystery,"March 27, 2023",68,1.8,English
213,Through Tell Hit,Action,"June 17, 2023",136,4.8,Spanish
214,Decide Administration Try,Documentary,"May 30, 2022",64,3.9,English
215,Talk Catch Into,Comedy,"April 02, 2020",98,1.0,Japanese
216,Gun Low Day,Horror,"March 03, 2020",117,2.8,Chinese
217,Risk Final Around,Drama,"January 13, 2022",85,2.7,Spanish
218,Probably Understand Audience,Action,"December 06, 2020",96,3.3,Spanish
219,Anything Instead Beautiful,Mystery,"July 13, 2021",59,1.3,Hindi
220,Car Still Film,Horror,"March 23, 2023",144,2.2,Spanish
221,Despite Practice President,Documentary,"April 22, 2022",59,3.2,Italian
222,Body Price Share,Romance,"April 08, 2022",112,2.4,Hindi
223,Here In Offer,Mystery,"July 29, 2022",106,5.0,Italian
224,Fly Too Well,Thriller,"February 12, 2020",93,1.8,Italian
225,Have Challenge Line,Documentary,"August 02, 2023",81,2.9,Japanese
226,Bring Use Various,Documentary,"July 31, 2023",139,3.5,Spanish
227,See Care Reason,Romance,"May 06, 2020",121,2.4,Chinese
228,Meet Week Mean,Comedy,"January 23, 2020",143,2.8,Italian
229,The Risk Under,Horror,"October 24, 2022",72,4.2,Japanese
230,Today He Chance,Comedy,"May 07, 2020",52,3.7,English
231,Face Leave Game,Drama,"March 06, 2021",131,1.7,Italian
