isn_dob_bis_viol,boro,bin,block,lot,issue_date,violation_type_code,violation_number,house_number,street,device_number,description,number,violation_category,violation_type,disposition_date,disposition_comments,ecb_number
2351406,3,3059563,2136.0,2136.0,20190520,JVCAT5,00339,441,WYTHE AVENUE,3P10799,FAILURE TO PERFORM CATEGORY 5 INSPECTION,V052019JVCAT500339,V-DOB VIOLATION - ACTIVE,JVCAT5-RESIDENTIAL ELEVATOR PERIODIC INSPECTION/TEST,,,
2383173,3,3137310,5631.0,14.0,20190903,LL2604S,NRF01042,920,48 STREET,,"FAILED TO FILE FINAL SPRINKLER REPORT BY JULY 1, 2019",V090319LL2604SNRF01042,V-DOB VIOLATION - ACTIVE,LL2604S-SPRINKLER,,,
2427322,2,2003035,2504.0,36.0,20190904,AEUHAZ1,00162,941,JEROME AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*090419AEUHAZ100162,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20191202.0,GNC    PAID INVOICE 62132098,35409075X
2384655,1,1001389,113.0,7501.0,20190906,ACC1,00284,375,PEARL ST,1F5381,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V090619ACC100284,V-DOB VIOLATION - ACTIVE,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,,,
2316273,4,4003105,214.0,7501.0,20190107,E,9028/643438,32-14,NORTHERN BOULEVARD,4P1563,,V*010719E9028/643438,V*-DOB VIOLATION - Resolved,E-ELEVATOR,20190805.0,"PPN203  AOC SUB ON 07/12/19 BY:TRANSEL ELEV.    DANIEL KIRK, CERT#402010",
2344278,3,3325095,1035.0,73.0,20190417,AEUHAZ1,00341,269,14 STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*041719AEUHAZ100341,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20200326.0,SQS    PAID INVOICE# 62115786,35382652J
2331382,1,1013508,753.0,76.0,20190306,AEUHAZ1,00032,364,WEST 30 STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*030619AEUHAZ100032,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20190419.0,ECB DOWNGRADED TO CLASS 2 OR 3,35373624H
2413459,2,2087228,4348.0,55.0,20191108,LBLVIO,04949,2301,WALLACE AVENUE,00100798,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO04949,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2352052,5,5106523,102.0,102.0,20190520,EVCAT5,00505,355,BARD AVENUE,5P470,FAILURE TO PERFORM CATEGORY 5 INSPECTION,V052019EVCAT500505,V-DOB VIOLATION - ACTIVE,EVCAT5-NON-RESIDENTIAL ELEVATOR PERIODIC INSPECTION/TEST,,,
2318471,3,3065306,2595.0,17.0,20190109,AEUHAZ1,00673,150,CALYER STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V010919AEUHAZ100673,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35361195K
2422317,4,4457718,11543.0,2.0,20191108,LBLVIO,13807,110-02,ROCKAWAY BOULEVARD,00073578,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO13807,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
