DBA Name,Facility Type,Risk,Address,Zip,Inspection Date,Inspection Type,Results,Violations
DANY'S TACOS,Restaurant,Risk 1 (High),2857 S ST LOUIS AVE ,60623.0,03/27/2017,License,Fail,"16. FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION - Comments: MUST INSTALL SEPARTION BETWEEN CUSTOMERS AND PREP AREA.
CORRECT AND MAINTAIN.
"
BILLY FOOD MARKET INC,,Risk 3 (Low),3906 W ROOSEVELT RD ,60624.0,03/27/2017,License,Not Ready,
TAQUERIA HACIENDA TAPATIA,Restaurant,Risk 1 (High),4125 W 26TH ST ,60623.0,03/27/2017,License Re-Inspection,Pass,"2. FACILITIES TO MAINTAIN PROPER TEMPERATURE - Comments: CORRECTED
ALL REFRIGERATION NOW ON.
 | 9. WATER SOURCE: SAFE, HOT & COLD UNDER CITY PRESSURE - Comments: CORRECTED
HOT WATER NOW AVAILABLE
 | 12. HAND WASHING FACILITIES: WITH SOAP AND SANITARY HAND DRYING DEVICES, CONVENIENT AND ACCESSIBLE TO FOOD PREP AREA - Comments: CORRECTED
ALL SINKS NOW HAVE SOAP AND TOWELS.
 | 18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: CORRECTED
LOG BOOK NOW ON SITE
 | 19. OUTSIDE GARBAGE WASTE GREASE AND STORAGE AREA; CLEAN, RODENT PROOF, ALL CONTAINERS COVERED - Comments: CORRECTED
GARBAGE CONTAINER NOW ON SITE.
 | 22. DISH MACHINES: PROVIDED WITH ACCURATE THERMOMETERS, CHEMICAL TEST KITS AND SUITABLE GAUGE COCK - Comments: CORRECTED
CHEMICAL TEST STRIPS NOW ON SITE.
 | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CORRECTED
 | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: CORRECTED
 | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: CORRECTED
 | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: CORRECTED
 | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: CORRECTED
"
WILD GOOSE BAR & GRILL,Restaurant,Risk 1 (High),4265 N LINCOLN AVE ,60618.0,03/27/2017,Canvass,Fail,"16. FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION - Comments: OBSERVED PINK/BLACK SLIME BUILD UP INSIDE ICE MACHINE UPPER PORTION AROUND ICE CHUTE (ICE USED FOR HUMAN CONSUMPTION). INSTRUCTED MANAGER TO CLEAN AND MAINTAIN INTERIOR OF ICE MACHINE. ALL ICE VOLUNTARILLY DISCARDED AT THIS TIME. SERIOUS VIOLATION 7-38-005(A). | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: OBSERVED 1 BURNED OUT CEILING LIGHT BULB ABOVE PREP AREA. MUST REPLACE WITH WORKING LIGHT BULB. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: OBSERVED FOOD DEBRIS IN BAR GUN HOLDERS ALSO OBSERVED ACCUMULATED DUST BUILD UP ON FOOD WALK IN COOLER CONDENSER. MUST CLEAN BAR GUN HOLDERS AND FOOD WALK IN COOLER CONDENSER."
PUBLICAN TAVERN K1,Restaurant,Risk 1 (High),11601 W TOUHY AVE ,60666.0,03/27/2017,Canvass,Fail,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: OBSERVED LIVE FRUIT FLIES IN THE DISHWASHING AREAS PREP AREAS AND BAR AREAS. APPROXIMATELY 40 LIVE FRUIT FLIES WERE OBSERVED ON THE WALLS, CEILING AND CEILING TILES, AND EQUIPMENT IN THESE AREAS. ADDITIONAL PEST CONTROL SERVICE IS NEEDED TO MINIMIZE OR ELIMINATE THE PEST ACTIVITY. SERIOUS VIOLATION 7-38-020.  | 2. FACILITIES TO MAINTAIN PROPER TEMPERATURE - Comments: FACILITIES DO NOT MAINTAIN PROPER TEMPERATURE. OBSERVED (1) 4 DOOR PREP COOLER AT COOKLINE WITH AN AIR TEMPERATURE OF 49.0F. THE COOLER WAS USED TO STORE POTENTIALLY HAZARDOUS FOODS SUCH AS FRESH CUT FRENCH FRIES,LETTUCE,POTATOES AND FISH. UNIT TAGGED HELD FOR INSPECTION. MUST EMPTY THE UNIT AND HAVE IT REPAIRED SO THAT IT MAINTAINS AN AIR TEMPERATURE BELOW 40F. CRITICAL VIOLATION 7-38-005A. | 3. POTENTIALLY HAZARDOUS FOOD MEETS TEMPERATURE REQUIREMENT DURING STORAGE, PREPARATION DISPLAY AND SERVICE - Comments: POTENTIALLY HAZARDOUS FOODS STORED AT IMPROPER TEMPERATURES. OBSERVED SMOKED SALMON AT 45.5F,DELI MEAT AT 49.0F,CHEESE AT 50.1F,POTATOES AT 44.7F,HAMBURGERS AT 45.1F,FISH AT 45.5F, GUACAMOLE AT 44.7F.INSTRUCTED TO MONITOR AND MAINTAIN ALL COLD FOODS AT 40F OR BELOW AND ALL HOT FOODS AT 140F OR ABOVE AT ALL TIMES.  CRITICAL VIOLATION 7-38-005(A).  | 16. FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION - Comments: OBSERVED CONTAINERS OF SLICED BREAD AND GLASSWARE BEING STORED ON COUNTERS ALONG THE FRONT CUSTOMER SEATING AREAS.INSTRUCTED TO REMOVE SAID ITEMS OR PROVIDE A BARRIER/SNEEZEGUARD SUCH THAT IT PROTECTS SAID AREAS FROM PUBLIC CONTAMINATION AND MAINTAIN AT ALL TIMES.
SERIOUS VIOLATION 7-38-005(A). | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FLOORS ALONG WALLS AND IN ALL CORNERS OF KITCHEN PREP AREAS AND DISHWASHING AREAS BEHIND AND AROUND KITCHEN EQUIPMENTS AND FLOOR DRAINS REQUIRE A DETAIL CLEANING AND MAINTAIN. | 42. APPROPRIATE METHOD OF HANDLING OF FOOD (ICE) HAIR RESTRAINTS AND CLEAN APPAREL WORN - Comments: OBSERVED SOME FOOD HANDLERS WITH LONG BEARDS.INSTRUCTED TO PROVIDE AND MAINTAIN BEARDNETS WHEN WORKING AROUND OPEN FOODS. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: OBSERVED SPLASHED FOOD DEBRIS ON WALLS THROUGHOUT THE DISHWASHING AND PREP AREAS.INSTRUCTED TO CLEAN WALLS IN DETAIL AND MAINTAIN. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: OBSERVED TORN GASKETS AT THE 4 DOOR COOKLINE COOLERS.INSTRUCTED TO REPLACEA AND MAINTAIN.
OBSERVED WORNED-OUT CUTTING BOARDS WITH DARK STAINS.INSTRUCTED TO REAPLACE AND MAINTAIN.
 | 8. SANITIZING RINSE FOR EQUIPMENT AND UTENSILS:  CLEAN, PROPER TEMPERATURE, CONCENTRATION, EXPOSURE TIME - Comments: LOW TEMPERATURE DISH MACHINE NOT ADEQUATELY SANITIZING FOOD EQUIPMENT AND UTENSILS, CHEMICAL PPM 0. INSTRUCTED MANAGER TO REPAIR DISH MACHINE AND MAINTAIN SANITIZER AT 100 PPM. DISH MACHINE IS TAGGED HELD FOR INSPECTION AND MUST NOT BE USED UNTIL RE-INSPECTED BY CHICAGO DEPARTMENT OF HEALTH. INSTRUCTED MANAGER TO USE THREE COMPARTMENT SINK TO PROPERLY WASH, RINSE, AND SANITIZE FOOD EQUIPMENT AND UTENSILS. CRITICAL VIOLATION 7-38-030"
LABRIOLA BAKERY AND CAFE,Bakery,Risk 2 (Medium),1301 W LAKE ST ,60607.0,03/27/2017,License,Not Ready,
PARK  PLAZA RETIREMENT CENTER,Restaurant,Risk 1 (High),6840 N SACRAMENTO AVE ,60645.0,03/27/2017,Complaint,Fail,"6. HANDS WASHED AND CLEANED, GOOD HYGIENIC PRACTICES; NO BARE HAND CONTACT WITH READY-TO-EAT FOODS. - Comments: POOR  HYGIENIC PRACTICES.OBSERVED EMPLOYEE WITH GLOVED HANDS TOUCHING NON-FOOD SURFACE AND ITEMS FROM BOXES,STORED CONTAINERS,AND WIPING WORK STATION, CUTTING BOARD AND KNIFE WITH SAME GLOVED HANDS CUT/DICED READY TO EAT PRODUCTS:  FRESH TOMATOES AND FRESH RED PEPPERS. ANOTHER EMPLOYEE  RETURNED TO KITCHEN/PREP AREA AND WITHOUT HAND WASHING GLOVED HANDS AND CONTINUE TO SLICE FRESH MUSHROOMS. INFORMATION ON HAND WASHING AND GLOVE PROCEDURE GIVEN TO MANAGER ON DUTY,WHICH HE CORRECTED ISSUE.
CRITICAL VIOLATION:7-38-010(A)
  | 16. FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION - Comments: FOOD(ICE) NOT PROTECTED DURING STORAGE,FOUND ICE MACHINE WITH BROWNISH SLIME SUBSTANCE  BY THE INTERIOR EDGE OF THE PANEL WERE ICE IS MADE/RELEASED. WE OBSERVED UNKNOWN PARTICLES WITH SUGAR INSIDE THE WHITE CONTAINER.ALSO FOUND UNCOVERED FOOD STORED UNDER THE STEAM TABLE WITH DUST AND GREASE DANGLING FROM PIPES.INSTRUCTED TO CLEAN,SANITIZE AND MAINTAIN ICE MACHINE.MUST COVER FOOD AT ALL TIME TO MINIMIZE SOURCE OF CONTAMINATION.
SERIOUS VIOLATION:7-38-005(A) | 12. HAND WASHING FACILITIES: WITH SOAP AND SANITARY HAND DRYING DEVICES, CONVENIENT AND ACCESSIBLE TO FOOD PREP AREA - Comments: FOUND BOTH EXPOSED HAND SINK IN THE KITCHEN WITH NO PAPER TOWELS PROVIDED AT PAPER TOWEL DISPENSERS OR BY THE SAID SINKS. PAPER TOWELS PROVIDED BY THE MANAGER UPON MY REQUEST. MUST KEEP PAPER TOWELS/HAND DRYING DEVICE AT SAID SINK FOR PROPER HAND WASHING.
CRITICAL VIOLATION:7-38-030 | 22. DISH MACHINES: PROVIDED WITH ACCURATE THERMOMETERS, CHEMICAL TEST KITS AND SUITABLE GAUGE COCK - Comments: NO CHEMICAL TEST KIT PROVIDED ON PREMISES.THREE COMPARTMENT SINK AT RED DISH ROOM WAS SET UP AND IN USE(QUATERNARY AMMONIUM WITH 100ppm INSTEAD OF 200ppm). MANAGER CORRECTED ISSUED AT THIRD COMPARTMENT SINK,PRESENTLY SANITIZER SOLUTION AT 200 PPM.INSTRUCTED TO PROVIDED CHEMICAL TEST KIT.
SERIOUS VIOLATION:7-38-030 | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: NO HOT WATER PROVIDED AT WASHBOWL(BY THE DOOR) INSIDE THE WOMEN'S WASHROOM.INSTRUCTED TO PROVIDE.ANOTHER WASH BOWL IS PROVIDED WITH HOT/COLD RUNNING WATER AT SAID LOCATION.
NO VENTILATION PROVIDED AT STAFF BOTH WASHROOMS(FIRST FLOOR)BY THE KITCHEN,INSTRUCTED TO PROVIDE VENTILATION.
OBSERVED THREAD FAUCET  AT THREE COMPARTMENT SINKS IN BOTH DISH ROOMS.NEED TO PROVIDE UNTHREAD FAUCET | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: OBSERVED DIRTY KNIVES STORED INSIDE KNIFE RACKS,INSTRUCTED TO CLEAN,SANITIZE AND MAINTAIN SAID KNIVES.MUST STORE ONLY CLEAN KNIVES AT SAID RACKS.
MEAT SLICER WITH SOME FOOD PARTICLES INSTRUCTED TO CLEAN AND MAINTAIN.PIPES UNDER THE PREP/STEAM TABLE WITH DUST AND GREASE INSTRUCTED TO CLEAN AND MAINTAIN | 8. SANITIZING RINSE FOR EQUIPMENT AND UTENSILS:  CLEAN, PROPER TEMPERATURE, CONCENTRATION, EXPOSURE TIME - Comments: BOTH HIGH TEMP DISH MACHINES NOT MAINTAINING 180F.PRESENT HOT WATER TEMPERATURE OF 147.9F AND 147F TAKEN WITH MANAGER THERMOMETER AND THE GAUGE OF THE BOTH UNITS SHOWS TEMP OF 146F.
HIGH TEMP DISH MACHINE MUST MAINTAIN TEMP OF 180F.TAGGED UNITS 'HELD FOR INSPECTION' DO NOT USE'.INSTRUCTED TO USE THREE COMPARTMENT SINKS IN EACH DISH ROOM.
CRITICAL VIOLATION:7-38-030 | 30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: NEED TO LABEL DRY FOOD CONTAINERS(SUGAR,SALT ETC) | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: OBSERVED  WATER BOTTLES USED TO COOL FOOD PRODUCTS WITH RED PAINT AT EXTERIOR OF THE BOTTLE. BOTTLES WILL BE FROZEN AND ARE USED TO IMMERSE TO FOOD TO COOL FOOD DOWN.INSTRUCTED TO PROVIDE INFORMATION ON THE RED PAINT(USE FOOD GRADE ONLY)OR REMOVE BOTTLES.
NON-COMMERCIAL DISH MACHINE PROVIDE AT DINING ROOM #603.INSTRUCTED TO PROVIDE A COMMERCIAL UNIT OR REMOVE SAID UNIT. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: REMOVE DEBRIS AND WATER  ON FLOOR IN DISH ROOM AREA UNDER THE DISH MACHINE UNITS.INSTRUCTED TO KEEP FLOOR DRY AND CLEAN. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: BLACK SLIME SUBSTANCE AROUND  TREE COMPARTMENT  SINKS(BOTH DISH ROOMS),INSTRUCTED TO REMOVE REPLACE,SURFACE MUST BE SMOOTH,CLEANABLE AND NON-ABSORBENT SURFACE."
SULLIVAN'S STEAKHOUSE,Restaurant,Risk 1 (High),415 N DEARBORN ST ,60654.0,03/27/2017,Complaint,Fail,"16. FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION - Comments: OBSERVED A BLACK SUBSTANCE ON THE ICE MAKER LOCATED INSIDE OF THE ICE MACHINE AND AROUND ICE MACHINE SLOTS. INSTRUCTED TO CLEAN, SANITIZE AND MAINTAIN. SERIOUS VIOLATION 7-38-005(A). | 8. SANITIZING RINSE FOR EQUIPMENT AND UTENSILS:  CLEAN, PROPER TEMPERATURE, CONCENTRATION, EXPOSURE TIME - Comments: OBSERVED DISH MACHINE (2ND FLOOR) IMPROPER FINAL RINSE TEMPERATURE AT 114F DURING INSPECTION. INSTRUCTED TO MAINTAIN A FINAL RINSE TEMPERATURE OF 180F AT ALL TIMES AND TO REPAIR AND MAINTAIN. UNIT TAGGED AND HELD FOR INSPECTION. USE 3 COMPARTMENT SINK TO WASH RINSE AND SANITIZE UTENSILS. CRITICAL VIOLATION 7-38-030."
THRESHOLD SCHOOL,School,Risk 1 (High),4219 N LINCOLN AVE ,60618.0,03/27/2017,Canvass,Pass,"38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: 3-COMPARTMENT SINK FAUCET LEAKING AT BASE. MUST REPAIR AND MAINTAIN SINK. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: OBSERVED 4 BURNED OUT CEILING LIGHT BULBS ABOVE PREP AREA. INSTRUCTED MANAGER TO REPLACE BURNED OUT CEILING LIGHT BULBS."
EDIBLE ARRANGEMENTS OF CHICAGO-HYDE PARK,Restaurant,Risk 1 (High),1465 E HYDE PARK BLVD ,60615.0,03/24/2017,Canvass,Pass w/ Conditions,"21. * CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE  PREPARED AND SERVED - Comments: NO CERTIFIED MANAGER ON DUTY OR VALID CERTIFICATE POSTED WHEN SLICED MELON IS PREPARED AND SERVED. A CERTIFIED MANAGER MUST BE ON SITE AT ALL TIMES POTENTIALLY HAZARDOUS FOODS ARE PREPARED AND SERVED. SERIOUS VIOLATION 7-38-012A | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: REPLACE STAINED AND MISSING CEILING TILES IN BEHIND FRONT COUNTER, FRONT STORAGE AND PREP AREAS. CLEAN ALL CEILING VENTS (DUST BUILDUP). | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: ELEVATE ALL STOCK OFF FLOOR IN PREP AND STORAGE AREAS. UTILITY SINK IS OBSTRUCTED AND NOT ACCESSIBLE. INSTRUCTED MANAGER TO REMOVE UNUSED ARTICLES AND EQUIPMENT IN REAR UTILITY AREA.  | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CLEAN INTERIOR AND EXTERIOR OF ALL PREP TABLES. | 45. FOOD HANDLER REQUIREMENTS MET - Comments: PROVIDE IDPH FOOD HANDLER TRAINING FOR ALL EMPLOYEES."
