id,creationdate,score,viewcount,title,answercount,commentcount,favoritecount,quest_name,quest_rep,ans_name,ans_rep
5486226,2011-03-30 12:26:50,4,2113,Rolling median in python,3,4,1.0,yueerhu,125.0,Mike Pennington,26995.0
5515021,2011-04-01 14:50:44,8,7015,Compute a compounded return series in Python,3,6,7.0,Jason Strimpel,3301.0,Mike Pennington,26995.0
5558607,2011-04-05 21:13:50,2,7392,Sort a pandas DataMatrix in ascending order,2,0,1.0,Jason Strimpel,3301.0,Wes McKinney,43310.0
6467832,2011-06-24 12:31:45,9,13056,How to get the correlation between two timeseries using Pandas,1,0,7.0,user814005,117.0,Wes McKinney,43310.0
7577546,2011-09-28 01:58:38,9,2488,"Using pandas, how do I subsample a large DataFrame by group in an efficient manner?",1,0,5.0,Uri Laserson,958.0,HYRY,54137.0
7766400,2011-10-14 10:33:54,2,977,Pandas + Django + mod_wsgi + virtualenv,1,2,1.0,Evan Davey,100.0,,
7776679,2011-10-15 08:21:17,25,28159,append two data frame with pandas,2,7,4.0,Jean-Pat,882.0,Wes McKinney,43310.0
7813132,2011-10-18 20:16:12,10,18917,Convert array of string (category) to array of int from a pandas dataframe,3,0,6.0,Jean-Pat,882.0,Wes McKinney,43310.0
7837722,2011-10-20 14:46:14,201,223746,What is the most efficient way to loop through dataframes with pandas?,8,3,115.0,Muppet,1563.0,Nick Crawford,2779.0
8270129,2011-11-25 13:55:02,1,891,Pandas Panel for share portfolio,1,0,,Evan Davey,100.0,Wes McKinney,43310.0
8273092,2011-11-25 18:39:02,1,2333,python: pandas install errors,2,0,,codingknob,2279.0,codingknob,2279.0
8451327,2011-12-09 20:27:24,1,2435,Python map() function output into Pandas DataFrame,1,0,1.0,briant57,6.0,,
8842114,2012-01-12 20:52:41,8,4009,How to apply slicing on pandas Series of strings,3,2,1.0,davidbrai,934.0,Rob Wouters,10083.0
8914992,2012-01-18 18:00:16,4,961,indexing several csv files with pandas from records?,1,1,1.0,user248237dfsf,19244.0,Wes McKinney,43310.0
8916302,2012-01-18 19:41:27,29,20614,selecting across multiple columns with python pandas?,3,0,14.0,user248237dfsf,19244.0,Wes McKinney,43310.0
8957175,2012-01-21 22:12:10,1,1134,DataFrame to Panel indexed by nonunique column with Pandas,1,4,,Jacob Mick,215.0,Wes McKinney,43310.0
8966871,2012-01-23 03:21:00,0,287,Running Python/Numpy/Pandas on older secure computer,0,3,,Casey,16.0,,
8991709,2012-01-24 17:59:53,136,16783,Why are pandas merges in python faster than data.table merges in R?,3,16,60.0,Zach,12484.0,Matt Dowle,41275.0
9189425,2012-02-08 07:42:11,2,1514,Pandas DataFrame serialization,1,0,,rezusr,33.0,Wes McKinney,43310.0
9283166,2012-02-14 19:42:19,3,8766,Plotting a stock chart with Pandas in IPython,2,1,1.0,Ben McCann,8712.0,Appleman1234,13272.0
9339184,2012-02-18 06:26:50,2,1234,"Python: Pandas, Dataframe, Convert 1column data into 2D data format",2,0,1.0,notilas,330.0,jfs,222208.0
9421412,2012-02-23 21:14:19,2,892,"Initializing pandas dataframes with and without index,columns yields different results",1,0,1.0,benjaminmgross,828.0,Wes McKinney,43310.0
9516422,2012-03-01 12:40:33,2,1106,"nan, floats and ints",1,0,,Jose Blanca,60.0,Wes McKinney,43310.0
9550867,2012-03-03 23:42:13,5,4148,Python Pandas Pivot Table,2,0,4.0,user1026987,45.0,BioGeek,9974.0
9555635,2012-03-04 14:25:36,19,6604,Open source Enthought Python alternative,8,5,6.0,tshauck,5957.0,ogrisel,24990.0
9556892,2012-03-04 16:58:45,6,5217,Pandas DataFrame - desired index has duplicate values,1,0,3.0,kavu,55.0,Wes McKinney,43310.0
9588331,2012-03-06 17:01:47,22,10038,Simple cross-tabulation in pandas,2,3,5.0,Jon Clements,85944.0,Jeff Hammerbacher,3172.0
9597681,2012-03-07 07:56:37,3,3060,read_csv converters for unkown columns,1,0,,Jose Blanca,60.0,Wes McKinney,43310.0
9621362,2012-03-08 16:42:30,7,6417,how do I compute a weighted moving average using pandas,1,2,1.0,thatshowthe,100.0,Wes McKinney,43310.0
9641916,2012-03-09 22:36:52,7,5519,Python Pandas: can't find numpy.core.multiarray when importing pandas,4,2,,Dylan Cutler,41.0,,
9647656,2012-03-10 15:35:26,3,986,Pandas dataframe in mixed mode can't serialize to hdf5?,1,0,,David van Coevorden,45.0,,
9652832,2012-03-11 06:00:56,41,39323,How to I load a tsv file into a Pandas DataFrame?,3,1,3.0,screechOwl,8774.0,huon,47402.0
9695668,2012-03-14 03:50:45,7,3636,How to specify dtype when using pandas.read_csv to load data from csv files?,2,1,4.0,Deadwood,43.0,Wes McKinney,43310.0
9721429,2012-03-15 14:08:31,9,5732,How do I read a fix width format text file in pandas,4,2,,user1234440,3369.0,user1234440,3369.0
9723000,2012-03-15 15:33:47,5,1359,"How do I tell pandas to parse a particular column as a datetime object, but not make it an index?",1,0,3.0,Uri Laserson,958.0,Wes McKinney,43310.0
9758450,2012-03-18 12:53:06,42,43262,Pandas convert dataframe to array of tuples,7,1,18.0,enrishi,303.0,Wes McKinney,43310.0
9762193,2012-03-18 20:51:48,4,2246,Pandas rolling median for duplicate time series data,1,0,2.0,Aaron,23.0,Wes McKinney,43310.0
9762935,2012-03-18 22:34:26,11,8380,Add indexed column to DataFrame with pandas,2,0,2.0,saroele,2055.0,Wes McKinney,43310.0
9787853,2012-03-20 13:36:09,18,7518,join or merge with overwrite in pandas,2,0,6.0,saroele,2055.0,Wes McKinney,43310.0
9788299,2012-03-20 14:00:00,7,9817,convenient slicing of DataFrames with datetime indexes in pandas,2,0,1.0,saroele,2055.0,Wes McKinney,43310.0
9794697,2012-03-20 20:49:24,1,1382,Best way to construct a pandas.DataFrame composed of different chunks,1,0,1.0,saroele,2055.0,Wes McKinney,43310.0
9826431,2012-03-22 16:23:22,4,7495,Fast insertion of pandas DataFrame into Postgres DB using psycopg2,2,3,,Arthur G,987.0,,
