Customer,TransDate,Quantity,PurchAmount,Cost
149332,15.11.2005,1,199.95,107.00
172951,29.08.2008,1,199.95,108.00
120621,19.10.2007,1,99.95,49.00
149236,14.11.2005,1,39.95,18.95
149236,12.06.2007,1,79.95,35.00
140729,19.11.2009,1,129.95,59.00
140729,19.11.2009,1,79.95,39.18
140729,19.11.2009,1,24.95,11.50
140729,19.11.2009,1,7.95,2.96
140729,28.04.2012,1,89.95,35.00
140729,28.04.2012,1,69.95,26.40
180970,19.06.2009,1,119.95,58.46
180970,19.06.2009,1,27.95,12.51
149332,13.12.2005,1,49.95,24.87
149332,05.10.2006,1,24.95,12.50
182927,11.02.2009,2,59.90,15.92
182927,11.02.2009,1,34.95,15.75
182927,11.02.2009,1,129.95,63.08
182927,11.02.2009,1,24.95,8.00
182927,24.11.2009,1,34.95,15.75
182927,09.09.2011,1,79.95,17.70
182927,09.09.2011,1,99.95,36.00
172951,29.08.2008,1,249.95,162.50
172951,29.08.2008,1,349.95,187.50
172951,28.01.2009,1,89.95,44.98
103952,09.08.2006,1,69.95,30.00
103952,11.05.2008,1,119.95,58.60
103952,11.05.2008,1,24.95,11.50
103952,11.05.2008,1,49.95,21.00
103952,11.05.2008,1,59.95,19.97
103952,11.05.2008,1,19.95,5.35
103952,11.05.2008,1,19.95,5.47
103952,11.05.2008,1,19.95,5.35
105474,18.12.2006,1,49.95,25.00
105474,18.12.2006,1,129.95,61.10
105474,18.12.2006,1,39.95,25.99
105474,18.12.2006,1,49.95,23.00
105474,18.12.2006,1,39.95,16.70
105474,18.12.2006,1,59.95,27.95
105474,21.05.2008,1,49.95,24.00
105474,21.05.2008,1,269.95,92.89
105474,30.04.2010,1,349.95,160.00
103744,30.03.2006,1,119.95,44.50
103744,06.10.2008,1,99.95,44.10
103744,06.10.2008,1,29.95,11.47
103744,12.04.2006,2,179.90,80.96
103744,29.04.2008,1,35.00,17.50
103744,19.08.2009,1,59.95,24.00
103744,19.10.2009,1,79.95,30.00
103744,19.10.2009,1,79.95,30.00
103744,04.03.2010,1,69.95,28.00
103744,04.03.2010,1,69.95,28.00
103744,04.03.2010,1,19.95,2.30
103744,04.03.2010,1,19.95,2.30
103744,04.03.2010,1,19.95,2.30
103744,04.03.2010,1,19.95,2.30
103744,04.03.2010,1,69.95,30.10
103744,04.03.2010,1,39.95,19.50
103744,04.03.2010,1,39.95,19.50
103744,12.07.2010,1,79.95,33.60
163588,30.07.2007,1,59.95,30.00
192276,17.09.2010,1,69.95,19.95
180918,16.06.2009,1,69.95,28.85
180918,21.08.2009,1,149.95,68.00
149442,16.11.2005,1,29.95,13.60
149442,13.06.2009,1,29.95,12.35
107959,12.12.2005,1,49.95,41.00
150816,12.05.2005,1,24.95,9.00
150816,12.05.2005,1,39.95,18.00
150816,12.05.2005,1,69.95,18.75
150816,12.05.2005,1,69.95,18.75
190659,21.12.2009,1,39.95,15.98
190659,12.08.2011,1,69.95,34.00
190659,12.08.2011,1,49.95,20.25
190659,12.08.2011,1,129.95,50.71
190659,19.12.2011,1,119.95,51.31
193871,12.05.2010,1,49.95,23.00
193871,12.05.2010,1,9.95,4.50
193871,06.08.2011,1,119.95,65.00
193871,06.08.2011,1,249.95,108.00
193871,06.08.2011,1,14.95,7.50
193871,06.08.2011,1,149.95,50.50
193871,06.08.2011,1,14.95,5.95
193871,06.08.2011,1,14.95,7.30
163507,25.07.2007,1,49.95,22.60
146224,05.12.2005,1,64.95,24.50
147492,09.08.2005,1,99.95,40.00
147492,16.08.2010,1,99.95,53.46
166430,18.11.2007,1,24.95,9.06
166430,18.11.2007,1,49.95,20.30
166430,22.11.2008,1,49.95,19.78
166430,22.11.2008,1,49.95,20.30
166430,22.11.2008,1,24.95,10.40
166430,12.11.2009,1,69.95,29.77
166430,12.11.2009,1,49.95,14.00
166430,12.11.2009,2,59.90,26.28
166430,12.11.2009,1,49.95,19.68
166430,12.11.2009,1,49.95,14.00
166430,30.12.2009,1,54.95,22.60
187038,24.09.2007,1,39.95,22.63
187038,24.09.2007,1,39.95,22.63
187038,13.11.2009,1,249.95,93.00
187038,12.05.2011,1,39.95,17.50
187038,12.05.2011,1,89.95,25.00
187038,12.05.2011,1,89.95,25.00
155011,18.08.2006,1,69.95,30.00
155011,05.11.2005,1,59.95,25.00
155011,10.06.2005,1,29.95,12.00
155011,23.05.2008,1,69.95,30.00
155011,17.08.2009,1,99.95,45.00
155011,23.02.2010,1,59.95,26.50
155011,23.02.2010,1,59.95,16.00
155011,11.04.2010,1,119.95,60.61
155011,01.04.2011,1,69.95,29.10
192852,11.08.2010,1,29.95,9.49
192852,11.08.2010,3,149.85,67.98
192852,11.08.2010,3,14.85,3.24
192852,11.08.2010,3,14.85,3.24
105623,28.11.2005,1,79.95,36.00
105623,28.11.2005,1,3.95,1.73
105623,28.11.2005,1,29.95,11.75
105623,28.11.2005,1,99.95,65.00
105623,19.07.2011,1,39.95,14.03
105623,19.07.2011,1,99.95,38.50
105623,19.07.2011,1,39.95,17.50
126172,01.09.2008,1,99.95,60.00
126172,01.09.2008,1,59.95,24.00
126172,07.06.2005,1,49.95,22.50
126172,18.06.2007,5,124.75,45.00
126172,01.12.2008,1,99.95,45.00
126172,01.12.2008,1,29.95,12.00
