Customer,TransDate,Quantity,PurchAmount,Cost,TransID
149332,15.11.2005,1,199.95,107.00,127998739
172951,29.08.2008,1,199.95,108.00,128888288
120621,19.10.2007,1,99.95,49.00,125375247
149236,14.11.2005,1,39.95,18.95,127996226
149236,12.06.2007,1,79.95,35.00,128670302
140729,19.11.2009,1,129.95,59.00,127637750
140729,19.11.2009,1,79.95,39.18,127637750
140729,19.11.2009,1,24.95,11.50,127637750
140729,19.11.2009,1,7.95,2.96,127637750
140729,28.04.2012,1,89.95,35.00,129377737
140729,28.04.2012,1,69.95,26.40,129377737
180970,19.06.2009,1,119.95,58.46,129195647
180970,19.06.2009,1,27.95,12.51,129195647
149332,13.12.2005,1,49.95,24.87,129878743
149332,05.10.2006,1,24.95,12.50,129883508
182927,11.02.2009,2,59.90,15.92,129290963
182927,11.02.2009,1,34.95,15.75,129290963
182927,11.02.2009,1,129.95,63.08,129290963
182927,11.02.2009,1,24.95,8.00,129290963
182927,24.11.2009,1,34.95,15.75,130979949
182927,09.09.2011,1,79.95,17.70,131596809
182927,09.09.2011,1,99.95,36.00,131596809
172951,29.08.2008,1,249.95,162.50,128888288
172951,29.08.2008,1,349.95,187.50,128888288
172951,28.01.2009,1,89.95,44.98,129113804
103952,09.08.2006,1,69.95,30.00,124418760
103952,11.05.2008,1,119.95,58.60,128953620
103952,11.05.2008,1,24.95,11.50,128953620
103952,11.05.2008,1,49.95,21.00,128953620
103952,11.05.2008,1,59.95,19.97,128953620
103952,11.05.2008,1,19.95,5.35,128953620
103952,11.05.2008,1,19.95,5.47,128953620
103952,11.05.2008,1,19.95,5.35,128953620
105474,18.12.2006,1,49.95,25.00,124452480
105474,18.12.2006,1,129.95,61.10,124452480
105474,18.12.2006,1,39.95,25.99,124452480
105474,18.12.2006,1,49.95,23.00,124452480
105474,18.12.2006,1,39.95,16.70,124452480
105474,18.12.2006,1,59.95,27.95,124452480
105474,21.05.2008,1,49.95,24.00,128818658
105474,21.05.2008,1,269.95,92.89,128818658
105474,30.04.2010,1,349.95,160.00,131139020
103744,30.03.2006,1,119.95,44.50,124414103
103744,06.10.2008,1,99.95,44.10,125866487
103744,06.10.2008,1,29.95,11.47,125866487
103744,12.04.2006,2,179.90,80.96,128327768
103744,29.04.2008,1,35.00,17.50,128803092
103744,19.08.2009,1,59.95,24.00,129232795
103744,19.10.2009,1,79.95,30.00,129274391
103744,19.10.2009,1,79.95,30.00,129274391
103744,04.03.2010,1,69.95,28.00,131123290
103744,04.03.2010,1,69.95,28.00,131123290
103744,04.03.2010,1,19.95,2.30,131123290
103744,04.03.2010,1,19.95,2.30,131123290
103744,04.03.2010,1,19.95,2.30,131123290
103744,04.03.2010,1,19.95,2.30,131123290
103744,04.03.2010,1,69.95,30.10,131123290
103744,04.03.2010,1,39.95,19.50,131123290
103744,04.03.2010,1,39.95,19.50,131123290
103744,12.07.2010,1,79.95,33.60,131368760
163588,30.07.2007,1,59.95,30.00,128497843
192276,17.09.2010,1,69.95,19.95,131234325
180918,16.06.2009,1,69.95,28.85,129193297
180918,21.08.2009,1,149.95,68.00,129233808
149442,16.11.2005,1,29.95,13.60,128001975
149442,13.06.2009,1,29.95,12.35,129191531
107959,12.12.2005,1,49.95,41.00,124510872
150816,12.05.2005,1,24.95,9.00,128042358
150816,12.05.2005,1,39.95,18.00,128042358
150816,12.05.2005,1,69.95,18.75,128042358
150816,12.05.2005,1,69.95,18.75,128042358
190659,21.12.2009,1,39.95,15.98,131049735
190659,12.08.2011,1,69.95,34.00,131745399
190659,12.08.2011,1,49.95,20.25,131745399
190659,12.08.2011,1,129.95,50.71,131745399
190659,19.12.2011,1,119.95,51.31,131781085
193871,12.05.2010,1,49.95,23.00,131361183
193871,12.05.2010,1,9.95,4.50,131361183
193871,06.08.2011,1,119.95,65.00,131533618
193871,06.08.2011,1,249.95,108.00,131533618
193871,06.08.2011,1,14.95,7.50,131533618
193871,06.08.2011,1,149.95,50.50,131533618
193871,06.08.2011,1,14.95,5.95,131533618
193871,06.08.2011,1,14.95,7.30,131533618
163507,25.07.2007,1,49.95,22.60,128494516
146224,05.12.2005,1,64.95,24.50,127899173
147492,09.08.2005,1,99.95,40.00,127942773
147492,16.08.2010,1,99.95,53.46,131213589
166430,18.11.2007,1,24.95,9.06,128612920
166430,18.11.2007,1,49.95,20.30,128612920
166430,22.11.2008,1,49.95,19.78,128995425
166430,22.11.2008,1,49.95,20.30,128995425
166430,22.11.2008,1,24.95,10.40,128995425
166430,12.11.2009,1,69.95,29.77,131031402
166430,12.11.2009,1,49.95,14.00,131031402
166430,12.11.2009,2,59.90,26.28,131031402
166430,12.11.2009,1,49.95,19.68,131031402
166430,12.11.2009,1,49.95,14.00,131031402
166430,30.12.2009,1,54.95,22.60,131057187
187038,24.09.2007,1,39.95,22.63,129908139
187038,24.09.2007,1,39.95,22.63,129908139
187038,13.11.2009,1,249.95,93.00,129970556
187038,12.05.2011,1,39.95,17.50,130042052
187038,12.05.2011,1,89.95,25.00,130042052
187038,12.05.2011,1,89.95,25.00,130042052
155011,18.08.2006,1,69.95,30.00,128200696
155011,05.11.2005,1,59.95,25.00,129868132
155011,10.06.2005,1,29.95,12.00,129872085
155011,23.05.2008,1,69.95,30.00,129926389
155011,17.08.2009,1,99.95,45.00,129961877
155011,23.02.2010,1,59.95,26.50,129981731
155011,23.02.2010,1,59.95,16.00,129981731
155011,11.04.2010,1,119.95,60.61,130003867
155011,01.04.2011,1,69.95,29.10,131423947
192852,11.08.2010,1,29.95,9.49,131286487
192852,11.08.2010,3,149.85,67.98,131286487
192852,11.08.2010,3,14.85,3.24,131286487
192852,11.08.2010,3,14.85,3.24,131286487
105623,28.11.2005,1,79.95,36.00,124456169
105623,28.11.2005,1,3.95,1.73,124456169
105623,28.11.2005,1,29.95,11.75,124456169
105623,28.11.2005,1,99.95,65.00,124456169
105623,19.07.2011,1,39.95,14.03,128749873
105623,19.07.2011,1,99.95,38.50,128749873
105623,19.07.2011,1,39.95,17.50,128749873
126172,01.09.2008,1,99.95,60.00,125674004
126172,01.09.2008,1,59.95,24.00,125674004
126172,07.06.2005,1,49.95,22.50,127920741
126172,18.06.2007,5,124.75,45.00,128472661
