"Class","Age","Sex","SurvivalStatus"
"1st","Quantity[29., ""Years""]","female","survived"
"1st","Quantity[0.9167, ""Years""]","male","survived"
"1st","Quantity[2., ""Years""]","female","died"
"1st","Quantity[30., ""Years""]","male","died"
"1st","Quantity[25., ""Years""]","female","died"
"1st","Quantity[48., ""Years""]","male","survived"
"1st","Quantity[63., ""Years""]","female","survived"
"1st","Quantity[39., ""Years""]","male","died"
"1st","Quantity[53., ""Years""]","female","survived"
"1st","Quantity[71., ""Years""]","male","died"
"1st","Quantity[47., ""Years""]","male","died"
"1st","Quantity[18., ""Years""]","female","survived"
"1st","Quantity[24., ""Years""]","female","survived"
"1st","Quantity[26., ""Years""]","female","survived"
"1st","Quantity[80., ""Years""]","male","survived"
"1st","Missing[""Not Available""]","male","died"
"1st","Quantity[24., ""Years""]","male","died"
"1st","Quantity[50., ""Years""]","female","survived"
"1st","Quantity[32., ""Years""]","female","survived"
"1st","Quantity[36., ""Years""]","male","died"
"1st","Quantity[37., ""Years""]","male","survived"
"1st","Quantity[47., ""Years""]","female","survived"
"1st","Quantity[26., ""Years""]","male","survived"
"1st","Quantity[42., ""Years""]","female","survived"
"1st","Quantity[29., ""Years""]","female","survived"
"1st","Quantity[25., ""Years""]","male","died"
"1st","Quantity[25., ""Years""]","male","survived"
"1st","Quantity[19., ""Years""]","female","survived"
"1st","Quantity[35., ""Years""]","female","survived"
"1st","Quantity[28., ""Years""]","male","survived"
"1st","Quantity[45., ""Years""]","male","died"
"1st","Quantity[40., ""Years""]","male","survived"
"1st","Quantity[30., ""Years""]","female","survived"
"1st","Quantity[58., ""Years""]","female","survived"
"1st","Quantity[42., ""Years""]","male","died"
"1st","Quantity[45., ""Years""]","female","survived"
"1st","Quantity[22., ""Years""]","female","survived"
"1st","Missing[""Not Available""]","male","survived"
"1st","Quantity[41., ""Years""]","male","died"
"1st","Quantity[48., ""Years""]","male","died"
"1st","Missing[""Not Available""]","male","died"
"1st","Quantity[44., ""Years""]","female","survived"
"1st","Quantity[59., ""Years""]","female","survived"
"1st","Quantity[60., ""Years""]","female","survived"
"1st","Quantity[41., ""Years""]","female","survived"
"1st","Quantity[45., ""Years""]","male","died"
"1st","Missing[""Not Available""]","male","died"
"1st","Quantity[42., ""Years""]","male","survived"
"1st","Quantity[53., ""Years""]","female","survived"
"1st","Quantity[36., ""Years""]","male","survived"
"1st","Quantity[58., ""Years""]","female","survived"
"1st","Quantity[33., ""Years""]","male","died"
"1st","Quantity[28., ""Years""]","male","died"
"1st","Quantity[17., ""Years""]","male","died"
"1st","Quantity[11., ""Years""]","male","survived"
"1st","Quantity[14., ""Years""]","female","survived"
"1st","Quantity[36., ""Years""]","male","survived"
"1st","Quantity[36., ""Years""]","female","survived"
"1st","Quantity[49., ""Years""]","male","died"
"1st","Missing[""Not Available""]","female","survived"
"1st","Quantity[36., ""Years""]","male","died"
"1st","Quantity[76., ""Years""]","female","survived"
"1st","Quantity[46., ""Years""]","male","died"
"1st","Quantity[47., ""Years""]","female","survived"
"1st","Quantity[27., ""Years""]","male","survived"
"1st","Quantity[33., ""Years""]","female","survived"
"1st","Quantity[36., ""Years""]","female","survived"
"1st","Quantity[30., ""Years""]","female","survived"
"1st","Quantity[45., ""Years""]","male","survived"
"1st","Missing[""Not Available""]","female","survived"
"1st","Missing[""Not Available""]","male","died"
"1st","Quantity[27., ""Years""]","male","died"
"1st","Quantity[26., ""Years""]","female","survived"
"1st","Quantity[22., ""Years""]","female","survived"
"1st","Missing[""Not Available""]","male","died"
"1st","Quantity[47., ""Years""]","male","died"
"1st","Quantity[39., ""Years""]","female","survived"
"1st","Quantity[37., ""Years""]","male","died"
"1st","Quantity[64., ""Years""]","female","survived"
"1st","Quantity[55., ""Years""]","female","survived"
"1st","Missing[""Not Available""]","male","died"
"1st","Quantity[70., ""Years""]","male","died"
"1st","Quantity[36., ""Years""]","female","survived"
"1st","Quantity[64., ""Years""]","female","survived"
"1st","Quantity[39., ""Years""]","male","died"
"1st","Quantity[38., ""Years""]","female","survived"
"1st","Quantity[51., ""Years""]","male","survived"
"1st","Quantity[27., ""Years""]","male","survived"
"1st","Quantity[33., ""Years""]","female","survived"
"1st","Quantity[31., ""Years""]","male","died"
"1st","Quantity[27., ""Years""]","female","survived"
"1st","Quantity[31., ""Years""]","male","survived"
"1st","Quantity[17., ""Years""]","female","survived"
"1st","Quantity[53., ""Years""]","male","survived"
"1st","Quantity[4., ""Years""]","male","survived"
"1st","Quantity[54., ""Years""]","female","survived"
"1st","Quantity[50., ""Years""]","male","died"
"1st","Quantity[27., ""Years""]","female","survived"
"1st","Quantity[48., ""Years""]","female","survived"
"1st","Quantity[48., ""Years""]","female","survived"
"1st","Quantity[49., ""Years""]","male","survived"
"1st","Quantity[39., ""Years""]","male","died"
"1st","Quantity[23., ""Years""]","female","survived"
"1st","Quantity[38., ""Years""]","female","survived"
"1st","Quantity[54., ""Years""]","female","survived"
"1st","Quantity[36., ""Years""]","female","died"
"1st","Missing[""Not Available""]","male","died"
"1st","Missing[""Not Available""]","female","survived"
"1st","Missing[""Not Available""]","female","survived"
"1st","Quantity[36., ""Years""]","male","survived"
"1st","Quantity[30., ""Years""]","male","died"
"1st","Quantity[24., ""Years""]","female","survived"
