MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
60,RL,65.0,8450,2,0,Reg,Lvl,AllPub,Inside,2,CollgCr,Norm,Norm,1Fam,2Story,7,5,new,new,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,3,3,PConc,5,4,2,6,706,1,0,150,856,GasA,5,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,4,8,7,0,1,Attchd,new,2,2,548,4,4,3,0,61,0,0,0,0,1,0,NA,0,2,new,WD,Normal,208500
20,RL,80.0,9600,2,0,Reg,Lvl,AllPub,FR2,2,Veenker,Feedr,Norm,1Fam,1Story,6,8,old,old,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,3,CBlock,5,4,5,5,978,1,0,284,1262,GasA,5,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,3,6,7,1,4,Attchd,old,2,2,460,4,4,3,298,0,0,0,0,0,1,0,NA,0,5,new,WD,Normal,181500
60,RL,68.0,11250,2,0,IR1,Lvl,AllPub,Inside,2,CollgCr,Norm,Norm,1Fam,2Story,7,5,new,new,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,3,3,PConc,5,4,3,6,486,1,0,434,920,GasA,5,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,4,6,7,1,4,Attchd,new,2,2,608,4,4,3,0,42,0,0,0,0,1,0,NA,0,9,new,WD,Normal,223500
70,RL,60.0,9550,2,0,IR1,Lvl,AllPub,Corner,2,Crawfor,Norm,Norm,1Fam,2Story,7,5,old,old,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,2,3,BrkTil,4,5,2,5,216,1,0,540,756,GasA,4,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,4,7,7,1,5,Detchd,mid,1,3,642,4,4,3,0,35,272,0,0,0,1,0,NA,0,2,new,WD,Abnorml,140000
60,RL,84.0,14260,2,0,IR1,Lvl,AllPub,FR2,2,NoRidge,Norm,Norm,1Fam,2Story,8,5,new,new,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,3,3,PConc,5,4,4,6,655,1,0,490,1145,GasA,5,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,4,9,7,1,4,Attchd,new,2,3,836,4,4,3,192,84,0,0,0,0,1,0,NA,0,12,new,WD,Normal,250000
50,RL,85.0,14115,2,0,IR1,Lvl,AllPub,Inside,2,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,mid,mid,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,3,Wood,5,4,2,6,732,1,0,64,796,GasA,5,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,3,5,7,0,1,Attchd,mid,1,2,480,4,4,3,40,30,0,320,0,0,1,3,Shed,700,10,new,WD,Normal,143000
20,RL,75.0,10084,2,0,Reg,Lvl,AllPub,Inside,2,Somerst,Norm,Norm,1Fam,1Story,8,5,new,new,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,3,3,PConc,6,4,4,6,1369,1,0,317,1686,GasA,5,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,4,7,7,1,5,Attchd,new,2,2,636,4,4,3,255,57,0,0,0,0,1,0,NA,0,8,new,WD,Normal,307000
60,RL,0.0,10382,2,0,IR1,Lvl,AllPub,Corner,2,NWAmes,PosN,Norm,1Fam,2Story,7,6,old,old,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,2,3,CBlock,5,4,3,5,859,4,32,216,1107,GasA,5,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,3,7,7,2,4,Attchd,old,2,2,484,4,4,3,235,204,228,0,0,0,1,0,Shed,350,11,new,WD,Normal,200000
50,RM,51.0,6120,2,0,Reg,Lvl,AllPub,Inside,2,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,old,old,Gable,CompShg,BrkFace,Wd Shng,None,0.0,2,3,BrkTil,4,4,2,1,0,1,0,952,952,GasA,4,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,3,8,6,2,4,Detchd,old,1,2,468,3,4,3,90,0,205,0,0,0,1,0,NA,0,4,new,WD,Abnorml,129900
190,RL,50.0,7420,2,0,Reg,Lvl,AllPub,Corner,2,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,old,old,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,3,BrkTil,4,4,2,6,851,1,0,140,991,GasA,5,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,3,5,7,2,4,Attchd,old,2,1,205,5,4,3,0,4,0,0,0,0,1,0,NA,0,1,new,WD,Normal,118000
